lng1,lat1,lng2,lat2,id1,id2
-77.557257,37.523634,-77.557104,37.523227,510411001061,510411001062
-77.557104,37.523227,-77.557071,37.523137,510411001061,510411001062
-77.557071,37.523137,-77.556942,37.522792,510411001061,510411001062
-77.556942,37.522792,-77.556848,37.522544,510411001061,510411001062
-77.556848,37.522544,-77.556663,37.522045,510411001061,510411001062
-77.556663,37.522045,-77.556335,37.521123,510411001061,510411001062
-77.556335,37.521123,-77.55617,37.520655,510411001061,510411001062
-77.55617,37.520655,-77.555963,37.520135,510411001061,510411001062
-77.555963,37.520135,-77.555876,37.519916,510411001061,510411001062
-77.555876,37.519916,-77.555773,37.519656,510411001061,510411001062
-77.555773,37.519656,-77.555564,37.519122,510411001061,510411001062
-77.555564,37.519122,-77.555285,37.518366,510411001061,510411001062
-77.555285,37.518366,-77.555167,37.518058,510411001061,510411001062
-77.555167,37.518058,-77.554964,37.517538,510411001061,510411001062
-77.554964,37.517538,-77.554841,37.517252,510411001061,510411001062
-77.554841,37.517252,-77.554829,37.51722,510411001061,510411001062
-77.554829,37.51722,-77.554746,37.517011,510411001061,510411001062
-77.554746,37.517011,-77.554645,37.516753,510411001061,510411001062
-77.554645,37.516753,-77.55459,37.516585,510411001061,510411001062
-77.55459,37.516585,-77.554469,37.516271,510411001061,510411001062
-77.554469,37.516271,-77.554407,37.516077,510411001061,510411001062
-77.554407,37.516077,-77.554363,37.515883,510411001061,510411001062
-77.554363,37.515883,-77.554323,37.515635,510411001061,510411001062
-77.554323,37.515635,-77.554266,37.515213,510411001061,510411001062
-77.554266,37.515213,-77.554225,37.51491,510411001061,510411001062
-77.554225,37.51491,-77.554186,37.514611,510411001061,510411001062
-77.554186,37.514611,-77.554033,37.513416,510411001061,510411001062
-77.554033,37.513416,-77.55398,37.513105,510411001061,510411001062
-77.55398,37.513105,-77.553893,37.512696,510411001061,510411001062
-77.553893,37.512696,-77.553844,37.51252,510411001061,510411001062
-77.553844,37.51252,-77.553785,37.512325,510411001061,510411001062
-77.553785,37.512325,-77.553494,37.511474,510411001061,510411001062
-77.553494,37.511474,-77.553285,37.510868,510411001061,510411001062
-77.553285,37.510868,-77.553209,37.510634,510411001061,510411001062
-77.553209,37.510634,-77.553116,37.510384,510411001061,510411001062
-77.553116,37.510384,-77.553008,37.51013,510411001061,510411001062
-77.553008,37.51013,-77.552922,37.509953,510411001061,510411001062
-77.552922,37.509953,-77.552742,37.509652,510411001061,510411001062
-77.552742,37.509652,-77.552511,37.509318,510411001061,510411001062
-77.552511,37.509318,-77.552295,37.509044,510411001061,510411001062
-77.552295,37.509044,-77.552178,37.508897,510411001061,510411001062
-77.552178,37.508897,-77.551851,37.50848,510411001061,510411001062
-77.551851,37.50848,-77.55137,37.50787,510411001061,510411001062
-77.55137,37.50787,-77.551343,37.507838,510411001061,510411001062
-77.551343,37.507838,-77.551214,37.50768,510411001061,510411001062
-77.551214,37.50768,-77.550842,37.507212,510411001061,510411001062
-77.550842,37.507212,-77.550388,37.506659,510411001061,510411001062
-77.550388,37.506659,-77.550289,37.506531,510411001061,510411001062
-77.550289,37.506531,-77.55,37.506132,510411001061,510411001062
-77.55,37.506132,-77.549696,37.505645,510411001061,510411001062
-77.549696,37.505645,-77.549645,37.505565,510411001061,510411001062
-77.549645,37.505565,-77.547194,37.506371,510411001061,510411001071
-77.547194,37.506371,-77.546721,37.506549,510411001061,510411001071
-77.546721,37.506549,-77.546277,37.506728,510411001061,510411001071
-77.546277,37.506728,-77.545965,37.506872,510411001061,510411001071
-77.545965,37.506872,-77.545525,37.5071,510411001061,510411001071
-77.545525,37.5071,-77.545104,37.507336,510411001061,510411001071
-77.545104,37.507336,-77.544857,37.507483,510411001061,510411001071
-77.544857,37.507483,-77.544727,37.507568,510411001061,510411001071
-77.544727,37.507568,-77.544264,37.507869,510411001061,510411001071
-77.544264,37.507869,-77.542876,37.508811,510411001061,510411001071
-77.542876,37.508811,-77.542131,37.509297,510411001061,510411001071
