Id,Median,Total
360550002001,23258,706
360550002002,13012,1200
360550002003,9613,549
360550007001,16579,908
360550007002,15625,595
360550007003,25840,451
360550010001,53151,1458
360550010002,39323,1112
360550010003,71930,758
360550013001,16408,1911
360550015001,21711,1027
360550018001,39583,801
360550018002,44803,759
360550018003,42832,1122
360550018004,31512,858
360550018005,20781,1002
360550018006,39049,763
360550019001,49792,1090
360550019002,27992,673
360550019003,34063,1080
360550020001,30909,267
360550020002,33088,731
360550020003,30500,762
360550020004,35774,542
360550020005,39427,664
360550020006,34804,1060
360550021001,60972,954
360550021002,33547,300
360550021003,33393,1246
360550021004,34097,1187
360550022001,18824,674
360550022002,20486,591
360550022003,32563,603
360550022004,15764,568
360550023001,11183,1201
360550023002,17847,666
360550023003,21236,1024
360550023004,25357,1237
360550024001,22833,764
360550024002,14519,1104
360550024003,31103,449
360550024004,22461,673
360550027001,14750,567
360550027002,21627,704
360550029001,76354,726
360550029002,51091,1038
360550029003,48462,698
360550029004,34500,1460
360550030001,37760,842
360550030002,36667,1199
360550031001,31719,737
360550031002,63295,1240
360550031003,74444,603
360550031004,82801,997
360550031005,28103,812
360550032001,18875,1336
360550032002,11389,527
360550033001,50417,775
360550033002,13421,817
360550034001,37500,1010
360550034002,39833,1431
360550035001,65357,920
360550035002,61563,857
360550036001,29671,956
360550036002,51250,948
360550036003,55313,866
360550037001,61500,838
360550037002,49091,811
360550037003,38594,1240
360550038021,-1,2781
360550038051,35969,1769
360550038052,-1,468
360550038053,26111,2153
360550038054,27741,2021
360550038055,-1,0
360550038056,11737,468
360550039001,22083,956
360550039002,31103,974
360550040001,16125,755
360550040002,31763,1044
360550041001,10104,496
360550041002,33750,595
360550046021,32389,730
360550046022,14456,1607
360550047011,17121,1796
360550047012,63750,1395
360550047021,25662,516
360550047022,37734,1022
360550047023,16716,591
360550048001,14441,738
360550048002,26422,730
360550048003,16250,743
360550049001,20718,964
360550049002,20469,1080
360550050001,11146,205
360550050002,19375,766
360550050003,9706,790
360550051001,20365,691
360550051002,31818,758
360550052001,18438,789
360550052002,19075,930
360550053001,19231,643
360550053002,22731,1324
360550054001,48750,789
360550054002,56164,911
360550054003,43885,961
360550054004,22401,958
360550054005,54333,619
360550055001,31467,737
360550055002,14554,461
360550055003,21304,1049
360550056001,22083,1005
360550056002,14000,769
360550056003,39444,570
360550057001,20938,630
360550057002,20906,645
360550057003,21154,506
360550058001,36359,1324
360550058002,24712,898
360550058003,23594,1127
360550058004,27222,1098
360550059001,26429,524
360550059002,27661,935
360550060001,53333,787
360550060002,63990,928
360550060003,44875,475
360550060004,18950,816
360550061001,54500,773
360550061002,60114,636
360550061003,60375,962
360550062001,29744,1049
360550062002,43500,1265
360550062003,26520,754
360550063001,36034,790
360550063002,26406,1144
360550063003,51750,1310
360550064001,24737,578
360550064002,18911,1234
360550064003,18625,670
360550065001,16339,794
360550065002,17422,967
360550066001,26667,845
360550066002,22500,1281
360550067001,43750,1307
360550067002,34219,1412
360550067003,21583,616
360550068001,37176,1070
360550068002,34196,747
360550068003,56313,1052
360550069001,24857,779
360550069002,14014,1266
360550070001,46827,1250
360550070002,38750,1008
360550070003,36168,480
360550071001,41078,972
360550071002,43871,1013
360550071003,35288,471
360550071004,52500,650
360550075001,16064,864
360550075002,30574,1382
360550075003,31696,865
360550076001,78583,811
360550076002,49444,860
360550076003,64632,630
360550076004,47569,759
360550077001,36793,1105
360550077002,50469,672
360550077003,43828,820
360550078011,60735,1055
360550078012,43333,1501
360550078021,73309,638
360550078022,84097,842
360550079001,20125,1142
360550079002,15323,681
360550080001,12813,719
360550080002,22831,660
360550080003,27440,831
360550081001,29946,1234
360550081002,24792,1226
360550081003,59545,603
360550081004,38309,1084
360550082001,37865,1007
360550082002,39219,1337
360550082003,23295,914
360550083011,26278,734
360550083012,48306,1515
360550083013,31481,1653
360550083014,23261,552
360550084001,26850,880
360550084002,26791,1107
360550084003,39554,1030
360550085001,18465,908
360550085002,25922,1887
360550085003,29079,950
360550086001,32150,1536
360550086002,47991,729
360550086003,46759,1553
360550086004,50875,623
360550087011,46518,986
360550087012,43993,1077
360550087013,41168,886
360550087014,29375,1049
360550087021,24625,473
360550087022,31417,752
360550088001,40313,1369
