lng1,lat1,lng2,lat2,id1,id2
-77.629286,43.164624,-77.630072,43.164624,360550002001,360550002002
-77.630072,43.164624,-77.630849,43.164624,360550002001,360550002002
-77.630849,43.164624,-77.631084,43.164625,360550002001,360550002002
-77.631084,43.164625,-77.631415,43.164628,360550002001,360550002002
-77.631415,43.164628,-77.631636,43.164632,360550002001,360550002002
-77.631636,43.164632,-77.632249,43.164632,360550002001,360550002002
-77.632249,43.164632,-77.632415,43.164632,360550002001,360550002002
-77.632415,43.164632,-77.633863,43.164639,360550002001,360550002002
-77.633863,43.164639,-77.633945,43.164639,360550002001,360550002002
-77.623166,43.167304,-77.623106,43.166707,360550002001,360550002003
-77.623106,43.166707,-77.622885,43.166394,360550002001,360550002003
-77.622885,43.166394,-77.623427,43.166165,360550002001,360550002003
-77.623427,43.166165,-77.624182,43.165857,360550002001,360550002003
-77.624182,43.165857,-77.62646,43.164881,360550002001,360550002003
-77.62646,43.164881,-77.626275,43.16462,360550002001,360550002003
-77.626275,43.16462,-77.627745,43.16462,360550002001,360550002003
-77.627745,43.16462,-77.628079,43.164621,360550002001,360550002003
-77.628079,43.164621,-77.628966,43.164621,360550002001,360550002003
-77.628966,43.164621,-77.629286,43.164624,360550002001,360550002003
-77.622441,43.170042,-77.622517,43.170009,360550002001,360550023001
-77.622517,43.170009,-77.622929,43.169828,360550002001,360550023001
-77.622929,43.169828,-77.623437,43.16917,360550002001,360550023001
-77.623437,43.16917,-77.623122,43.168271,360550002001,360550023001
-77.623122,43.168271,-77.622913,43.167359,360550002001,360550023001
-77.622913,43.167359,-77.623142,43.167341,360550002001,360550023001
-77.623142,43.167341,-77.623166,43.167304,360550002001,360550023001
-77.633945,43.164639,-77.633919,43.16436,360550002001,360550041001
-77.633919,43.16436,-77.633839,43.164154,360550002001,360550041001
-77.633839,43.164154,-77.633217,43.16338,360550002001,360550041001
-77.633217,43.16338,-77.63309,43.163239,360550002001,360550041001
-77.63309,43.163239,-77.632988,43.163127,360550002001,360550041001
-77.632988,43.163127,-77.632824,43.162962,360550002001,360550041001
-77.632824,43.162962,-77.632679,43.162845,360550002001,360550041001
-77.632679,43.162845,-77.632292,43.162546,360550002001,360550041001
-77.632292,43.162546,-77.632206,43.162478,360550002001,360550041001
-77.632206,43.162478,-77.632139,43.162436,360550002001,360550041001
-77.632139,43.162436,-77.630753,43.161969,360550002001,360550041001
-77.630753,43.161969,-77.630289,43.161792,360550002001,360550041001
-77.630289,43.161792,-77.62905,43.160909,360550002001,360550041001
-77.62905,43.160909,-77.628661,43.160623,360550002001,360550041001
-77.628661,43.160623,-77.627005,43.159391,360550002001,360550041001
-77.613083,43.160593,-77.613103,43.160629,360550002001,360550092001
-77.613103,43.160629,-77.613202,43.160789,360550002001,360550092001
-77.613202,43.160789,-77.61322,43.160819,360550002001,360550092001
-77.61322,43.160819,-77.613398,43.160879,360550002001,360550092001
-77.613398,43.160879,-77.613617,43.160954,360550002001,360550092001
-77.613617,43.160954,-77.613738,43.161336,360550002001,360550092001
-77.613738,43.161336,-77.613934,43.161907,360550002001,360550092001
-77.613934,43.161907,-77.614003,43.162114,360550002001,360550092001
-77.614003,43.162114,-77.61451,43.162316,360550002001,360550092001
-77.61451,43.162316,-77.615532,43.162755,360550002001,360550092001
-77.615532,43.162755,-77.61606,43.162973,360550002001,360550092001
-77.61606,43.162973,-77.616578,43.163189,360550002001,360550092001
-77.616578,43.163189,-77.618625,43.164436,360550002001,360550092001
-77.618625,43.164436,-77.620232,43.165805,360550002001,360550092001
-77.620232,43.165805,-77.621946,43.167199,360550002001,360550092001
-77.621946,43.167199,-77.622267,43.167558,360550002001,360550092001
-77.622267,43.167558,-77.622634,43.168642,360550002001,360550092001
-77.622634,43.168642,-77.622542,43.169029,360550002001,360550092001
-77.622542,43.169029,-77.622441,43.170042,360550002001,360550092001
-77.620183,43.155142,-77.619959,43.155847,360550002001,360550094003
-77.619959,43.155847,-77.619855,43.155999,360550002001,360550094003
-77.619855,43.155999,-77.61967,43.156203,360550002001,360550094003
-77.61967,43.156203,-77.619533,43.156357,360550002001,360550094003
-77.619533,43.156357,-77.619371,43.156519,360550002001,360550094003
-77.619371,43.156519,-77.619263,43.15659,360550002001,360550094003
-77.619263,43.15659,-77.618281,43.157144,360550002001,360550094003
-77.618281,43.157144,-77.618116,43.157332,360550002001,360550094003
-77.618116,43.157332,-77.617684,43.157554,360550002001,360550094003
-77.617684,43.157554,-77.615799,43.15872,360550002001,360550094003
-77.615799,43.15872,-77.615012,43.159244,360550002001,360550094003
-77.615012,43.159244,-77.614109,43.159867,360550002001,360550094003
-77.614109,43.159867,-77.613786,43.160129,360550002001,360550094003
-77.613786,43.160129,-77.61366,43.160228,360550002001,360550094003
-77.61366,43.160228,-77.61352,43.16031,360550002001,360550094003
-77.61352,43.16031,-77.613477,43.160342,360550002001,360550094003
-77.613477,43.160342,-77.613182,43.160526,360550002001,360550094003
-77.613182,43.160526,-77.613083,43.160593,360550002001,360550094003
-77.613083,43.160593,,,360550002001,360550094004
-77.624684,43.157624,-77.624181,43.157612,360550002001,360550095003
-77.624181,43.157612,-77.623609,43.157557,360550002001,360550095003
-77.623609,43.157557,-77.623084,43.15746,360550002001,360550095003
-77.623084,43.15746,-77.623039,43.157448,360550002001,360550095003
-77.623039,43.157448,-77.622565,43.157326,360550002001,360550095003
-77.622565,43.157326,-77.622283,43.15723,360550002001,360550095003
-77.622283,43.15723,-77.621964,43.157119,360550002001,360550095003
-77.621964,43.157119,-77.62133,43.156678,360550002001,360550095003
-77.62133,43.156678,-77.621171,43.156583,360550002001,360550095003
-77.621171,43.156583,-77.621081,43.15653,360550002001,360550095003
-77.621081,43.15653,-77.620871,43.156369,360550002001,360550095003
-77.620871,43.156369,-77.620765,43.156251,360550002001,360550095003
-77.620765,43.156251,-77.620585,43.156035,360550002001,360550095003
-77.620585,43.156035,-77.620568,43.156008,360550002001,360550095003
-77.620568,43.156008,-77.620422,43.155771,360550002001,360550095003
-77.620422,43.155771,-77.620183,43.155142,360550002001,360550095003
-77.624684,43.157624,,,360550002001,360550096012
-77.627005,43.159391,-77.626929,43.159341,360550002001,360550096042
-77.626929,43.159341,-77.626425,43.158971,360550002001,360550096042
-77.626425,43.158971,-77.625911,43.158611,360550002001,360550096042
-77.625911,43.158611,-77.625641,43.15841,360550002001,360550096042
-77.625641,43.15841,-77.625539,43.158329,360550002001,360550096042
-77.625539,43.158329,-77.625204,43.158086,360550002001,360550096042
-77.625204,43.158086,-77.625088,43.158005,360550002001,360550096042
-77.625088,43.158005,-77.624977,43.157919,360550002001,360550096042
-77.624977,43.157919,-77.624793,43.157757,360550002001,360550096042
-77.624793,43.157757,-77.624684,43.157624,360550002001,360550096042
-77.633945,43.164639,-77.633863,43.164639,360550002002,360550002001
-77.633863,43.164639,-77.632415,43.164632,360550002002,360550002001
-77.632415,43.164632,-77.632249,43.164632,360550002002,360550002001
-77.632249,43.164632,-77.631636,43.164632,360550002002,360550002001
-77.631636,43.164632,-77.631415,43.164628,360550002002,360550002001
-77.631415,43.164628,-77.631084,43.164625,360550002002,360550002001
-77.631084,43.164625,-77.630849,43.164624,360550002002,360550002001
-77.630849,43.164624,-77.630072,43.164624,360550002002,360550002001
-77.630072,43.164624,-77.629286,43.164624,360550002002,360550002001
-77.629286,43.164624,-77.629622,43.165078,360550002002,360550002003
-77.629622,43.165078,-77.629912,43.165468,360550002002,360550002003
-77.629912,43.165468,-77.627631,43.166448,360550002002,360550002003
-77.627631,43.166448,-77.627921,43.166841,360550002002,360550002003
-77.627921,43.166841,-77.628211,43.167237,360550002002,360550002003
-77.628211,43.167237,-77.629103,43.168454,360550002002,360550002003
-77.629103,43.168454,-77.629386,43.16882,360550002002,360550002003
-77.629386,43.16882,-77.629668,43.169187,360550002002,360550002003
-77.629668,43.169187,-77.630202,43.169919,360550002002,360550002003
-77.630202,43.169919,-77.630462,43.170259,360550002002,360550002003
-77.630462,43.170259,-77.630662,43.170258,360550002002,360550023001
-77.630662,43.170258,-77.632201,43.170266,360550002002,360550023001
-77.632201,43.170266,-77.633207,43.17026,360550002002,360550024002
-77.633207,43.17026,-77.633506,43.170259,360550002002,360550024002
-77.633506,43.170259,-77.633555,43.170259,360550002002,360550024002
-77.633555,43.170259,-77.634269,43.170254,360550002002,360550024002
-77.634269,43.170254,-77.634827,43.170257,360550002002,360550024002
-77.634827,43.170257,-77.63507,43.170259,360550002002,360550024002
-77.63507,43.170259,-77.635596,43.170258,360550002002,360550024002
-77.635596,43.170258,-77.635714,43.17025,360550002002,360550024002
-77.635714,43.17025,-77.635832,43.170233,360550002002,360550024002
-77.635832,43.170233,-77.636434,43.17,360550002002,360550024002
-77.636434,43.17,-77.637426,43.169589,360550002002,360550024002
-77.637426,43.169589,-77.637564,43.169527,360550002002,360550024002
-77.637564,43.169527,-77.638749,43.168999,360550002002,360550024002
-77.634513,43.16464,-77.634255,43.16464,360550002002,360550041001
-77.634255,43.16464,-77.634162,43.16464,360550002002,360550041001
-77.634162,43.16464,-77.634065,43.164639,360550002002,360550041001
-77.634065,43.164639,-77.633945,43.164639,360550002002,360550041001
-77.638749,43.168999,-77.638267,43.168332,360550002002,360550041002
-77.638267,43.168332,-77.637756,43.167684,360550002002,360550041002
-77.637756,43.167684,-77.637595,43.167474,360550002002,360550041002
-77.637595,43.167474,-77.637191,43.166955,360550002002,360550041002
-77.637191,43.166955,-77.636817,43.166478,360550002002,360550041002
-77.636817,43.166478,-77.636783,43.166427,360550002002,360550041002
-77.636783,43.166427,-77.636283,43.165788,360550002002,360550041002
