Id,Median,Total
060670001001,88405,1952
060670001002,86071,1004
060670001003,118523,871
060670002001,94375,644
060670002002,74018,869
060670002003,59875,1159
060670002004,99118,913
060670003001,76515,551
060670003002,99355,879
060670003003,99250,1695
060670004001,54479,748
060670004002,42335,1085
060670004003,47647,1366
060670004004,52039,690
060670005001,41181,1807
060670005002,41917,1409
060670005003,47171,607
060670006001,30313,541
060670006002,26667,708
060670007001,12403,2542
060670008001,61500,584
060670008002,42067,875
060670011011,25469,1017
060670011012,23608,1017
060670012001,29420,1017
060670012002,34050,1105
060670012003,43979,1088
060670013001,31797,946
060670013002,38500,754
060670013003,45453,1210
060670014001,38333,565
060670014002,31133,917
060670014003,41146,1205
060670015001,31383,899
060670015002,126932,860
060670015003,63750,672
060670015004,102650,506
060670015005,61371,1537
060670016001,82917,1244
060670016002,73750,1339
060670016003,68165,991
060670016004,73424,711
060670016005,98869,1281
060670017001,108099,1393
060670017002,69188,818
060670017003,12872,740
060670017004,56078,621
060670017005,18056,1800
060670018001,65208,727
060670018002,37431,622
060670018003,19375,840
060670018004,45150,1252
060670018005,54583,1915
060670019001,32540,1010
060670019002,34063,550
060670019003,47321,1281
060670020001,22609,560
060670020002,39102,1046
060670020003,26115,588
060670021001,45191,1188
060670021002,31471,559
060670021003,17188,593
060670022001,17415,1158
060670022002,10232,633
060670022003,40747,1403
060670022004,77411,762
060670023001,67826,758
060670023002,77344,730
060670023003,127125,1006
060670023004,62059,735
060670024001,111364,1599
060670024002,110208,1449
060670024003,29348,514
060670024004,103194,870
060670025001,117375,963
060670025002,79063,780
060670026001,40000,1182
060670026002,84091,737
060670026003,105444,673
060670027001,53250,726
060670027002,19607,1048
060670027003,22039,493
060670027004,21979,1470
060670028001,32457,663
060670028002,32344,920
060670028003,31004,1322
060670029001,26909,2091
060670029002,47150,927
060670029003,42292,412
060670029004,75438,2023
060670030001,47382,1882
060670030002,44531,660
060670030003,74419,1244
060670030004,56442,1234
060670030005,66816,758
060670031011,29917,902
060670031012,38427,764
060670031013,40982,828
060670031014,38958,745
060670031021,60147,805
060670031022,40769,1106
060670031023,50250,1218
060670032021,49250,1103
060670032022,24848,2543
060670032023,50938,1268
060670032031,41518,1612
060670032032,35170,1659
060670032041,33185,1825
060670032042,16833,1133
060670032043,31452,2306
060670033001,68266,1290
060670033002,56923,1332
060670033003,80000,1263
060670034001,37943,1411
060670034002,38977,1372
060670034003,97039,1635
060670035011,49022,769
060670035012,53446,1157
060670035013,21471,712
060670035021,55653,1174
060670035022,39444,782
060670035023,42214,768
060670036001,38086,1940
060670036002,36466,886
060670037001,23214,2765
060670037002,21713,1254
060670038001,50640,2962
060670038002,55417,1038
060670038003,35938,893
060670038004,64167,779
060670039001,64088,986
060670039002,50859,1183
060670039003,57841,1388
060670040011,54688,1227
060670040012,46071,1123
060670040013,64542,1594
060670040014,52667,1306
060670040041,97266,2234
060670040042,101346,1913
060670040043,52639,1991
060670040051,63929,853
060670040052,49656,2373
060670040053,96750,1158
060670040061,38684,1085
060670040062,48300,1722
060670040063,90917,1213
060670040064,73404,909
060670040081,82083,2098
060670040082,80903,1381
060670040091,60417,1021
060670040092,87500,1090
060670040093,86282,1780
060670040094,53674,1037
060670040101,43358,2102
060670040102,62969,1679
060670040103,57440,1179
060670040111,89803,1474
060670040112,100882,1771
060670040121,105262,2929
060670040122,117604,574
060670041001,36290,1992
060670041002,35393,618
060670041003,17917,2022
060670042011,42331,913
060670042012,40524,2096
060670042013,52356,2520
060670042021,32532,1788
060670042022,39792,1915
060670042023,42721,1812
060670042031,19432,2850
060670042032,27401,2128
060670043001,31513,2132
060670043002,49237,2896
060670043003,37500,2209
060670043004,42500,2552
060670044011,19310,898
060670044012,30887,813
060670044013,27891,846
060670044014,32656,862
060670044021,22425,1105
