Id,Median,Total
171194002004,-1,-1
171194002005,-1,-1
171194006001,-1,-1
171194007001,-1,-1
171194007002,-1,-1
171194007003,-1,-1
171194040004,-1,-1
171194041002,-1,-1
171635023001,-1,-1
171635023002,-1,-1
171635023003,-1,-1
171635023004,-1,-1
171635023005,-1,-1
171635023006,-1,-1
171635026021,-1,-1
171635026022,-1,-1
171635026023,-1,-1
171635026024,-1,-1
171635026031,-1,-1
171635031001,-1,-1
171635031002,-1,-1
171635031003,-1,-1
171635031004,-1,-1
171635045001,-1,-1
171635045004,-1,-1
171635045005,-1,-1
291892101001,21452,989
291892101003,50392,2093
291892101004,57605,1538
291892102001,30637,1374
291892102002,32796,3033
291892102003,28029,1524
291892102004,29313,500
291892103001,27083,1152
291892103002,61333,281
291892103003,36477,1015
291892103004,30083,1091
291892104001,54375,1113
291892104002,38750,689
291892104003,37443,918
291892104004,46016,431
291892104005,48682,1451
291892105011,23117,1888
291892105012,50493,1895
291892105021,45000,712
291892105022,32292,570
291892105023,33438,1111
291892105024,38636,522
291892105025,50719,702
291892106001,46384,1276
291892106002,31250,1713
291892106003,77778,799
291892106004,32630,1408
291892106005,38594,1708
291892107021,45873,1434
291892107023,25018,1358
291892107024,35795,1308
291892108051,35234,1424
291892108052,46647,1763
291892108054,72593,1073
291892111014,32232,1912
291892111015,58456,1440
291892111022,38750,2423
291892112023,68750,1029
291892115002,38205,1686
291892115003,40313,882
291892116001,54394,627
291892116002,32900,1138
291892116003,19028,621
291892116004,37382,976
291892116005,36979,1803
291892117001,56855,1218
291892117002,60341,1397
291892117003,42321,732
291892117004,35625,946
291892118011,35571,1961
291892118012,81750,2431
291892118021,48906,614
291892118022,28239,1839
291892118023,26442,681
291892119001,28071,955
291892119002,41912,692
291892119003,21005,882
291892119004,19244,1527
291892119005,14743,1190
291892120011,31580,1506
291892120012,54455,1129
291892120013,23485,1133
291892120014,25625,1120
291892120015,31354,758
291892120016,24309,2025
291892120021,27143,1680
291892120022,22860,1132
291892121011,24447,704
291892121012,18295,1041
291892121013,30250,603
291892121014,28162,1446
291892121015,14023,426
291892121021,27188,828
291892121022,34000,1904
291892121023,32216,734
291892122001,46464,1327
291892122002,35149,1153
291892122003,34907,1230
291892122004,26923,648
291892122005,26005,718
291892122006,25517,465
291892122007,23355,864
291892123001,25586,1382
291892123002,28393,1590
291892123003,50855,1095
291892123004,58393,917
291892124001,33750,1553
291892124002,30150,1117
291892125001,65278,1073
291892125002,38875,1157
291892125003,56250,1252
291892125004,14025,1693
291892126001,46650,619
291892126002,77361,1173
291892126003,48875,1018
291892126004,33507,1473
291892126005,33828,695
291892127001,35256,475
291892127002,67778,971
291892127003,22585,2084
291892127004,47929,1388
291892127005,42639,702
291892136001,17857,1016
291892136002,16458,1152
291892136003,30000,839
291892137001,13264,640
291892137002,36667,594
291892137003,57250,954
291892137004,76375,649
291892137005,25153,1657
291892137006,49063,793
291892138001,30402,545
291892138002,37109,1252
291892138003,40227,1179
291892138004,35417,413
291892138005,20871,1095
291892138006,27300,985
291892139001,21750,947
291892139002,20432,1203
291892141001,50625,670
291892141002,27227,814
291892142002,40833,876
291892142003,25670,2038
291892159003,38031,2084
291892159004,41750,662
291892159005,26887,798
291892160001,29690,1110
291892160002,43516,801
291892161001,171750,958
291892161002,20739,2334
291892161003,20393,933
291892161004,68833,1073
291892162001,58306,1226
291892162002,155313,914
291892162003,220357,1041
291892162004,76875,749
291892163001,210057,4193
291892163002,79545,1196
291892163003,45000,1489
291892164002,88611,748
291892164003,203056,1083
291892167001,74477,1317
291892167002,53605,908
291892167003,53259,444
291892168001,49732,714
291892168002,67367,784
291892168003,61210,1668
291892169001,50438,684
291892169002,32804,1526
291892170001,23487,749
291892170002,47316,2086
291892170003,16703,1034
291892196001,83281,669
291892196002,65350,1054
291892196004,61836,1857
291892197001,35068,1801
291892197002,33607,419
291892198001,67375,2186
291892198002,32734,1616
291892198003,52917,993
291892198004,52525,1691
291892198005,61406,936
291892199001,51797,1228
291892199002,38598,653
291892199003,44153,776
291892199004,32098,882
291892199005,59095,1662
291892199006,58719,881
291892200011,38877,1931
291892200012,64588,2215
291892200013,59038,647
291892200021,70357,696
291892200023,52076,921
291892201001,45598,1813
291892201002,38813,1239
291892201003,38036,1013
291892201004,57614,935
291892201005,50388,1436
291892201006,48030,1355
291892202001,56583,649
291892202002,43098,1188
291892202004,55104,581
291892202005,42750,1782
291892206011,47043,1843
291892206021,52292,2481
291892206023,43941,1403
291892218001,33185,1683
291892218003,37135,458
295101011001,54028,1535
295101011002,48688,1075
295101012001,46985,1043
295101012002,56563,1020
295101012003,55074,936
295101013001,41438,1098
295101013002,53125,820
295101013003,57266,1521
295101013004,34700,785
295101014001,42475,468
295101014002,32000,1066
295101014003,41833,951
295101015001,39750,563
295101015002,24417,1036
295101015003,26567,923
295101015004,37734,873
295101018001,31058,1009
295101018002,18021,461
295101018003,30556,800
295101018004,24773,876
295101021001,46071,1117
295101021002,45385,901
295101021003,34552,855
295101022001,54732,647
295101022002,51150,1179
295101022003,68452,1150
295101022004,66750,731
295101022005,82440,1161
295101022006,112273,816
295101022007,105707,1012
295101023001,54669,1229
295101023002,56042,662
295101024001,29219,691
295101024002,47059,535
295101024003,38250,1297
295101025001,41815,1025
295101025002,38833,1002
295101031001,39205,873
295101031002,39063,994
295101031003,46031,1326
295101034001,51910,905
295101034002,55509,895
295101036001,23594,581
295101036002,61500,896
295101037001,62500,838
295101037002,47198,1041
295101037003,48426,571
295101038001,77125,827
295101038002,93438,824
295101038003,43819,706
295101038004,51964,650
295101038005,51048,744
295101042001,51923,1290
295101042002,45179,1442
295101042003,47778,571
295101042004,54940,511
295101045001,40263,532
295101045002,38750,578
295101045003,55192,428
295101051981,70652,764
295101051982,30000,654
295101051983,8864,848
295101051984,79375,1316
295101052001,41250,2018
295101052002,48864,909
295101053001,16346,664
295101053002,11797,899
295101053003,41306,860
295101054001,23500,1228
295101054002,21875,1250
295101055001,31204,572
