Id,Median,Total
410470002001,34173,526
410470002002,33835,924
410470002003,33867,1916
410470003001,24132,1213
410470003002,50272,424
410470003003,25686,1827
410470003004,47806,1520
410470004001,24657,1692
410470004002,23125,1867
410470004003,26750,1348
410470005011,49787,1552
410470005012,50719,1871
410470005021,31017,732
410470005022,36319,1774
410470005023,25964,2793
410470006001,45435,1773
410470006002,48438,1567
410470006003,34821,1764
410470007011,32454,3033
410470007012,27366,2675
410470007013,25341,2708
410470009001,30982,1143
410470009002,47292,1464
410470009003,33813,943
410470009004,30571,799
410470009005,60943,673
410470009006,36063,696
410470009007,39643,440
410470010001,43466,1281
410470010002,22400,1271
410470010003,27614,1531
410470011001,46250,1053
410470011002,58906,2459
410470011003,36857,904
410470012001,36782,1600
410470012002,41458,1747
410470013001,57566,2024
410470013002,35670,1344
410470013003,77083,550
410470014011,69013,2111
410470014012,50078,2143
410470014013,46250,1914
410470014021,75562,1633
410470014022,52437,1605
410470014023,44779,2511
410470015011,74125,1283
410470015012,96042,1251
410470015013,31821,1665
410470015021,38984,2287
410470015022,41546,2034
410470015023,61058,1068
410470015031,41719,1593
410470015032,28305,2069
410470015033,46222,1408
410470016011,36591,988
410470016012,56484,3186
410470016013,38233,2175
410470016014,67500,941
410470016021,18125,2828
410470016022,29784,1472
410470016023,42917,1869
410470016024,67813,699
410470016025,26130,1744
410470016031,70833,1649
410470016032,52283,2230
410470016033,41056,1265
410470016034,38929,1586
410470016041,32683,2076
410470016042,29672,1425
410470016043,47721,2700
410470016044,38384,1620
410470017011,18783,2365
410470017012,40503,1781
410470017013,51327,2527
410470017021,62943,1595
410470017022,42270,2012
410470017023,25974,2278
410470017031,75272,1033
410470017032,60742,1482
410470017033,46356,2237
410470018011,31500,2082
410470018012,41173,1109
410470018013,45175,1997
410470018014,41250,1893
410470018021,48464,1560
410470018022,44432,2149
410470018023,43672,937
410470018024,41026,1987
410470018025,45000,1932
410470018031,29150,2279
410470018032,41667,2486
410470020001,50222,2709
410470020002,76861,2564
410470020003,77438,1941
410470020004,38143,2225
410470021011,29125,1401
410470021012,54232,809
410470021021,55000,1471
410470021022,43897,935
410470021023,49866,1790
410470021024,40341,1897
410470022011,76667,1755
410470022012,54000,704
410470022021,78750,2813
410470022022,77179,1232
410470022023,76625,2762
410470023011,66628,2167
410470023012,57679,790
410470023031,66310,2812
410470023032,63009,2058
410470023033,45104,2496
410470023041,119423,1941
410470023042,67552,1067
410470023043,39068,1939
410470023044,34681,445
410470024001,75625,1234
410470024002,79453,2245
410470025012,59107,1603
410470025013,57713,3219
410470025021,47115,2089
410470025022,52153,2229
410470025023,26825,794
410470026001,54479,878
410470027001,69815,2781
410470027002,38438,1062
410470027003,72292,1433
410470027005,96339,2205
410470028001,83942,1424
410470028002,50347,2536
410530051001,30042,689
410530051002,30708,1369
410530052011,37212,701
410530052012,88750,5057
410530052013,47799,2893
410530052021,64523,1618
410530052022,41587,2465
410530052023,78250,2668
410530052024,58233,2987
410530053002,40769,1232
410530053003,80147,2175
410530053004,83958,1008
410530053005,86217,3432
