Id,Median,Total
490111264022,-1,-1
490111264041,-1,-1
490111264042,-1,-1
490111264051,-1,-1
490111264052,-1,-1
490111264061,-1,-1
490111264062,-1,-1
490111268023,-1,-1
490111270021,-1,-1
490111270022,-1,-1
490111270032,-1,-1
490351001001,-1,-1
490351001002,-1,-1
490351002001,-1,-1
490351003061,-1,-1
490351003062,-1,-1
490351003063,-1,-1
490351003071,-1,-1
490351003072,-1,-1
490351003073,-1,-1
490351003081,-1,-1
490351003082,-1,-1
490351005001,-1,-1
490351005002,-1,-1
490351005003,-1,-1
490351005004,-1,-1
490351005005,-1,-1
490351006001,-1,-1
490351006002,-1,-1
490351006003,-1,-1
490351006004,-1,-1
490351006005,-1,-1
490351007001,-1,-1
490351007002,-1,-1
490351007003,-1,-1
490351008001,-1,-1
490351008002,-1,-1
490351008003,-1,-1
490351010001,-1,-1
490351010002,-1,-1
490351011011,-1,-1
490351011012,-1,-1
490351011021,-1,-1
490351011022,-1,-1
490351011023,-1,-1
490351012001,-1,-1
490351012002,-1,-1
490351012003,-1,-1
490351012004,-1,-1
490351014001,-1,-1
490351014002,-1,-1
490351014003,-1,-1
490351015001,-1,-1
490351015002,-1,-1
490351015003,-1,-1
490351015004,-1,-1
490351016001,-1,-1
490351016002,-1,-1
490351016003,-1,-1
490351017001,-1,-1
490351017002,-1,-1
490351017003,-1,-1
490351018001,-1,-1
490351018002,-1,-1
490351018003,-1,-1
490351019001,-1,-1
490351019002,-1,-1
490351020001,-1,-1
490351020002,-1,-1
490351020003,-1,-1
490351021001,-1,-1
490351023001,-1,-1
490351023002,-1,-1
490351025001,-1,-1
490351026001,-1,-1
490351026002,-1,-1
490351026003,-1,-1
490351027011,-1,-1
490351027012,-1,-1
490351027013,-1,-1
490351027021,-1,-1
490351027022,-1,-1
490351028011,-1,-1
490351028012,-1,-1
490351028013,-1,-1
490351028021,-1,-1
490351028022,-1,-1
490351028023,-1,-1
490351029001,-1,-1
490351029002,-1,-1
490351029003,-1,-1
490351030001,-1,-1
490351030002,-1,-1
490351031001,-1,-1
490351031002,-1,-1
490351031003,-1,-1
490351032001,-1,-1
490351032002,-1,-1
490351032003,-1,-1
490351033001,-1,-1
490351033002,-1,-1
490351033003,-1,-1
490351034001,-1,-1
490351034002,-1,-1
490351034003,-1,-1
490351035001,-1,-1
490351035002,-1,-1
490351035003,-1,-1
490351036001,-1,-1
490351036002,-1,-1
490351037001,-1,-1
490351037002,-1,-1
490351038001,-1,-1
490351038002,-1,-1
490351039001,-1,-1
490351039002,-1,-1
490351039003,-1,-1
490351040001,-1,-1
490351040002,-1,-1
490351040003,-1,-1
490351041001,-1,-1
490351041002,-1,-1
490351042001,-1,-1
490351042002,-1,-1
490351042003,-1,-1
490351042004,-1,-1
490351042005,-1,-1
490351042006,-1,-1
490351043001,-1,-1
490351043002,-1,-1
490351044001,-1,-1
490351044002,-1,-1
490351047001,-1,-1
490351047002,-1,-1
490351047003,-1,-1
490351048001,-1,-1
490351048002,-1,-1
490351048003,-1,-1
490351048004,-1,-1
490351049001,-1,-1
490351049002,-1,-1
490351049003,-1,-1
490351101031,-1,-1
490351101032,-1,-1
490351102001,-1,-1
490351102002,-1,-1
490351102003,-1,-1
490351102004,-1,-1
490351102005,-1,-1
490351103001,-1,-1
490351103002,-1,-1
490351103003,-1,-1
490351103004,-1,-1
490351103005,-1,-1
490351103006,-1,-1
490351114001,-1,-1
490351114002,-1,-1
490351114003,-1,-1
490351114004,-1,-1
490351114005,-1,-1
490351114006,-1,-1
490351115001,-1,-1
490351116001,-1,-1
490351117022,-1,-1
490351117023,-1,-1
490351117024,-1,-1
490351118021,-1,-1
490351118022,-1,-1
490351133051,-1,-1
490351133052,-1,-1
490351133053,-1,-1
490351133054,-1,-1
490351133071,-1,-1
490351133072,-1,-1
490351133073,-1,-1
490351133074,-1,-1
490351133081,-1,-1
490351133082,-1,-1
490351133083,-1,-1
490351134061,-1,-1
490351134062,-1,-1
490351134063,-1,-1
490351134071,-1,-1
490351134072,-1,-1
490351134073,-1,-1
490351134121,-1,-1
490351139031,-1,-1
490351139032,-1,-1
490351139041,-1,-1
490351139042,-1,-1
490351139043,-1,-1
490351139044,-1,-1
490351139061,-1,-1
490351139062,-1,-1
490351139063,-1,-1
490351139072,-1,-1
490351139073,-1,-1
490351140001,-1,-1
490351141001,-1,-1
490351141002,-1,-1
490351145001,-1,-1
490351145002,-1,-1
490351145003,-1,-1
490351147001,-1,-1
490351147002,-1,-1
490351148001,-1,-1
490351148002,-1,-1
490351148003,-1,-1
490359800001,-1,-1
