Id,Median,Total
480139602013,48253,4049
480139602021,53447,2848
480139602023,29118,1137
480139602024,40563,2532
480139604011,36810,2209
480291101001,29904,462
480291101002,41935,605
480291101003,37240,2108
480291103001,22561,999
480291103002,38750,666
480291103003,24125,1145
480291105001,10667,1815
480291106001,22083,3316
480291106002,11765,1231
480291106003,15234,2807
480291107001,19038,1976
480291108001,28934,487
480291108002,13750,730
480291108003,28333,558
480291109001,32941,557
480291110001,21445,788
480291110002,14500,573
480291110003,29612,556
480291201001,59665,7100
480291203001,166382,1500
480291203002,110278,718
480291203003,79107,831
480291203004,116750,841
480291203005,76063,818
480291203006,175417,549
480291203007,113036,1026
480291203008,105909,964
480291204001,86364,1042
480291204002,102788,619
480291204003,184444,991
480291204004,175982,1005
480291204005,157083,1307
480291204006,74655,1013
480291205011,47102,606
480291205012,22617,1103
480291205013,48314,1231
480291205014,40208,1849
480291205015,30729,1254
480291205016,51500,1221
480291205017,40625,759
480291205021,54604,1131
480291205022,39583,1650
480291205023,18973,761
480291205024,23750,511
480291205025,11953,555
480291205026,42366,619
480291206001,47071,1037
480291206002,53227,803
480291206003,59803,731
480291206004,59907,1133
480291206005,103511,824
480291206006,79426,480
480291206007,17244,854
480291207011,31786,400
480291207012,25134,1567
480291207013,22539,1246
480291207014,50709,1047
480291207015,83333,1003
480291207021,64453,2228
480291207022,44806,1223
480291207023,74389,1284
480291208001,86484,959
480291208002,59725,1219
480291208003,61875,1167
480291208004,94531,784
480291208005,113495,854
480291208006,126188,696
480291208007,44015,741
480291209011,67125,777
480291209012,33857,1404
480291209021,48469,2634
480291209022,88625,1988
480291209023,42917,1268
480291209024,34018,897
480291210001,20776,496
480291210002,53158,1295
480291210003,36586,2277
480291210004,30943,585
480291210005,80196,1576
480291210006,73516,997
480291211081,72305,1405
480291211082,76597,1184
480291211083,23243,2110
480291211084,41024,1175
480291211085,87618,1250
480291211101,76442,2455
480291211102,56477,1579
480291211103,66827,1086
480291211111,68258,1021
480291211112,85255,1630
480291211113,40888,1383
480291211114,38365,2141
480291211121,48906,2206
480291211122,60740,1847
480291211151,54519,1420
480291211152,79122,2043
480291211153,117292,1958
480291211161,26250,1133
480291211162,52218,551
480291211163,61818,1441
480291211164,44559,1757
480291211171,74500,2258
480291211172,58849,1183
480291211173,30417,950
480291211181,108145,1593
480291211182,41875,2361
480291211183,103362,2201
480291211191,46809,1059
480291211192,59555,2794
480291211193,60042,1670
480291211201,51429,3481
480291211202,65064,2020
480291211211,86765,1987
480291211212,90694,1065
480291211221,84583,1327
480291211222,66830,1745
480291211223,68854,2203
480291212031,27386,302
480291212032,25795,1322
480291212033,57868,1332
480291212034,41875,1306
480291212041,27296,1643
480291212042,31544,1775
480291212043,43471,1343
480291212044,27286,905
480291212045,43299,1848
480291212051,39737,2882
480291212052,27883,1054
480291212061,76875,1046
480291212062,47479,973
480291212063,67500,1095
480291212064,66324,1184
480291212065,39241,2671
480291212066,33046,1071
480291213001,52738,2055
480291213002,64375,1730
480291213003,80298,919
480291213004,80167,1535
480291214021,53654,3599
480291214022,37240,1748
480291214031,23631,2434
480291214032,71089,1095
480291214033,37171,1818
480291214041,34899,1615
480291214042,15066,1335
480291214043,29500,1795
480291215011,70573,1450
480291215012,81979,1876
480291215013,78487,2258
480291215014,60462,1835
480291215041,29272,1350
480291215042,55550,876
480291215043,46705,1239
480291215044,71862,3749
480291215051,59397,2634
480291215052,49896,818
480291215053,60208,1012
480291215061,75375,1464
480291215062,24443,1562
480291215063,39354,885
480291215064,56307,1038
480291215071,39598,969
480291215072,54952,1158
480291215073,67375,666
480291215074,42565,1568
480291215081,33625,1661
480291215082,23725,2138
480291215083,54850,1131
480291216011,49769,1709
480291216012,39568,1138
480291216013,35000,1244
480291216041,63380,4350
480291216042,61389,1136
480291216043,41500,719
480291216044,82841,2050
480291216051,66250,1354
480291216052,66167,884
480291216061,57083,433
480291216062,46667,2511
480291216063,59500,1672
480291216064,46316,603
480291217021,96927,2923
480291217022,52536,1047
480291217023,74077,2564
480291218021,91029,2733
480291218022,44500,2825
480291218023,68229,2947
480291218031,65076,2230
480291218032,57206,702
480291218033,55351,2099
480291218041,39662,1605
480291218042,56677,3363
480291218043,16037,1790
480291218081,78222,666
480291218082,75313,2471
480291218091,52279,818
480291218092,77634,2569
480291218093,62069,1521
480291218101,80545,3117
480291218102,61076,1425
480291218111,84688,3789
480291218112,75806,906
480291218121,63200,2949
480291218122,81477,930
480291218123,46861,944
480291218124,71155,979
480291218131,57625,1533
480291219031,97250,1796
480291219032,115089,3321
480291219041,82212,1326
480291219042,123590,2409
480291219051,126429,1661
480291219052,98041,3760
480291219061,108019,2901
480291219062,65563,2372
480291219071,114091,939
480291219072,85920,8986
480291219081,112500,892
480291219082,117240,1413
480291219091,68702,1909
480291219092,74258,2945
480291219101,94864,3413
480291219102,88977,1205
480291302001,32578,1033
480291302002,22188,939
480291303001,41307,698
480291303002,28894,992
480291303003,26985,756
480291303004,36161,595
480291304011,32632,445
480291304012,25486,1371
480291304013,18068,924
480291304014,27097,971
480291304021,22645,1276
480291304022,10664,1766
480291304023,23233,1224
480291305001,14365,724
480291305002,28750,656
480291305003,21429,2601
480291305004,17132,370
480291306001,26522,954
480291306002,26830,1362
480291306003,17415,1838
480291306004,21447,847
480291307001,32610,667
480291307002,24313,924
480291308001,24250,2055
