Id,Median,Total
060730001001,117813,1252
060730001002,102639,1458
060730002011,99130,2067
060730002021,58954,1355
060730002022,78152,775
060730002023,84167,2469
060730003001,58750,764
060730003002,39414,675
060730003003,51194,1355
060730003004,72465,1029
060730003005,81875,736
060730004001,61957,1656
060730004002,54405,783
060730004003,69388,1187
060730005001,78750,770
060730005002,51354,1011
060730005003,63370,905
060730006001,54643,657
060730006002,76791,1056
060730006003,60125,1173
060730007001,43487,1150
060730007002,71577,1992
060730007003,56395,735
060730008001,29868,743
060730008002,78824,598
060730008003,74464,735
060730008004,27459,1633
060730009001,54423,1133
060730009002,38625,996
060730009003,57917,859
060730009004,15668,720
060730009005,53750,490
060730009006,75000,694
060730010001,58371,970
060730010002,62019,1398
060730010003,51686,1514
060730010004,46548,1360
060730011001,70268,1198
060730011002,42885,1380
060730011003,41625,719
060730012001,37461,1167
060730012002,38141,1517
060730012003,48149,1141
060730012004,40375,1728
060730013001,37442,922
060730013002,40978,1863
060730013003,31544,1413
060730013004,54246,1315
060730013005,40464,1248
060730014001,44904,590
060730014002,97024,712
060730014003,67542,1557
060730015001,52000,1361
060730015002,55000,840
060730015003,67857,697
060730015004,48040,1007
060730016001,40131,2741
060730016002,35700,1033
060730016003,48036,880
060730016004,32948,1239
060730017001,46629,1793
060730017002,41328,897
060730017003,41071,1153
060730017004,73080,776
060730018001,42006,675
060730018002,39896,1704
060730018003,22500,514
060730018004,65123,1020
060730018005,42198,1172
060730018006,32089,872
060730019001,76875,1030
060730019002,83125,1253
060730019003,72770,769
060730020011,109505,1159
060730020012,123906,1363
060730020013,146400,763
060730020021,72935,1193
060730020022,95179,1443
060730021001,56917,986
060730021002,50239,843
060730021003,34719,517
060730021004,34188,1085
060730021005,46090,1033
060730022011,34524,2324
060730022012,31894,1941
060730022021,24375,1628
060730022022,15847,2162
060730022023,29333,1289
060730023011,30804,1071
060730023012,27008,1074
060730023013,37875,819
060730023021,17790,2286
060730023022,24880,1840
060730023023,19789,2150
060730024011,43669,1309
060730024012,51926,1647
060730024013,31964,1822
060730024021,42153,3143
060730024022,25697,1918
060730025011,52083,2398
060730025012,46250,1081
060730025013,38229,2123
060730025021,72045,2996
060730025022,29449,2282
060730025023,37833,783
060730026011,29375,2010
060730026012,29663,2340
060730026013,48500,1632
060730026021,44306,1300
