Id,Median,Total
060855001001,53654,980
060855001002,50649,1706
060855001003,65504,2471
060855001004,80169,1877
060855002001,87115,1306
060855002002,-1,737
060855002003,74231,1529
060855002004,66993,2101
060855003001,53750,510
060855003002,120174,2781
060855004001,55313,1440
060855004002,68636,1082
060855005001,126250,859
060855005002,115568,1663
060855005003,66711,665
060855005004,114432,1119
060855005005,99926,1052
060855006001,65085,2791
060855006002,157153,1157
060855006003,92589,1022
060855008001,71250,729
060855008002,43432,1897
060855009011,16800,1085
060855009012,61739,2476
060855009021,15855,794
060855009022,25739,4274
060855010001,55526,1583
060855010002,71786,625
060855010003,17845,847
060855010004,24500,767
060855010005,52595,752
060855011011,46635,2298
060855011012,60972,1817
060855011021,96102,1679
060855011022,52841,1554
060855011023,51506,1167
060855012001,51023,586
060855012002,56719,1085
060855012003,24013,1001
060855012004,66927,1541
060855013001,126875,799
060855013002,150833,538
060855013003,32586,1990
060855013004,81389,926
060855014011,39531,2288
060855014012,53207,1008
060855014021,43047,1210
060855014022,39282,1766
060855015011,61420,2585
060855015012,33050,1836
060855015021,75500,1547
060855015022,72188,2703
060855016001,41786,336
060855016002,34554,733
060855016003,25421,2385
060855016004,52404,1994
060855016005,76786,801
060855017001,55556,476
060855017002,43636,753
060855017003,29122,1843
060855017004,61875,1869
060855018001,50667,1089
060855018002,97614,1837
060855018003,83542,928
060855018004,70625,1111
060855019001,90125,3952
060855019002,50496,1793
060855020011,36667,1316
060855020012,34318,539
060855020013,91346,1574
060855020014,52027,2082
060855020021,32574,753
060855020022,26250,1323
060855020023,56157,2925
060855021011,88295,1687
060855021012,71250,790
060855021013,88250,2510
060855021021,45694,2171
060855021022,36875,3034
060855021023,93438,1014
060855021024,37500,1147
060855022011,62692,3527
060855022012,55028,3348
060855022021,103295,1268
060855022022,122159,1002
060855022023,65486,997
060855023011,62969,1527
060855023012,150690,1616
060855023021,71573,1363
060855023022,93147,1766
060855024001,128889,720
060855024002,106518,559
060855024003,119083,766
060855024004,169702,1001
060855024005,104261,1880
060855024006,109583,1454
060855024007,72214,705
060855025001,99167,1176
060855025002,131375,846
060855025003,144063,1202
060855025004,148824,1008
060855025005,131250,817
060855025006,121250,1254
060855026011,192917,765
060855026012,160382,704
060855026013,104286,1333
060855026031,70938,896
060855026032,138333,625
060855026033,156250,988
060855026041,79615,1980
060855026042,67324,1243
060855026043,81528,942
060855027011,80982,1589
060855027012,96151,1459
060855027013,55395,1533
060855027021,109904,2607
060855027022,66836,1958
060855027023,102879,1005
060855027024,133750,1260
060855027025,123438,846
060855028001,137500,1268
060855028002,93523,1826
060855028003,95069,1131
060855029011,84468,1855
060855029012,117708,1521
060855029013,107656,1371
060855029014,58487,1478
060855029021,128241,2074
060855029022,93066,2814
060855029023,86667,2451
060855029031,133875,2122
060855029032,120655,1540
060855029033,85000,1261
060855029061,55357,1397
060855029062,100875,1722
060855029063,118857,1197
060855029071,107750,1964
060855029072,136346,1930
060855029081,44750,1843
060855029082,162647,3112
060855029083,115313,1860
060855029091,89231,1126
060855029092,104420,1191
060855029093,77694,1579
060855029094,79900,1458
060855029101,81686,1007
060855029102,98580,959
060855029103,48654,403
060855029104,75052,1383
060855030011,125804,1215
060855030012,118854,912
060855030013,132917,2119
060855030021,82455,1559
060855030022,121905,1974
060855030031,134688,961
060855030032,126467,2189
060855030033,79583,1636
060855030034,91953,791
060855031051,35000,2319
060855031081,53324,1806
060855031082,127417,4101
060855031083,26087,1125
060855031084,49545,1012
060855031101,42052,2506
060855031102,46458,1090
060855031103,37000,1126
060855031111,65962,1202
060855031112,56574,1284
060855031113,60375,2446
060855031121,44844,2468
060855031122,53864,1228
060855031131,35938,2152
060855031132,45880,2714
060855031151,95054,6028
060855031161,55179,2789
060855031162,80056,2374
060855031171,51000,1617
060855031172,39663,1604
060855031181,66953,875
060855031182,69688,1622
060855031183,60833,3052
060855031211,46201,3709
060855031212,56964,820
060855031221,22776,1913
060855031222,60104,1002
060855031231,43627,3091
060855031232,20673,942
060855032041,63542,3296
060855032042,66000,1566
060855032043,24444,1146
060855032044,64948,342
060855032045,41818,1418
060855032071,83667,2267
060855032072,89044,1846
060855032081,84101,2388
060855032082,72279,1744
060855032101,100455,2435
060855032102,74018,1677
060855032111,75972,2573
060855032112,106304,2382
060855032121,87019,785
060855032122,80462,2343
060855032123,115417,1238
060855032131,30100,1683
060855032132,43810,2343
060855032141,40625,4942
060855032142,26167,2854
060855032171,68633,1343
060855032172,48750,1821
060855032173,89342,847
060855032181,32402,2771
060855032182,68636,1913
060855033041,27121,1950
060855033042,70991,1668
060855033043,61724,1824
060855033044,49141,951
060855033051,80313,1305
060855033052,70750,2859
060855033053,28500,2069
060855033061,63261,1171
060855033062,75962,1930
060855033063,66750,840
060855033121,104219,357
060855033122,133750,2325
060855033123,85700,941
060855033131,124948,1138
060855033132,145139,1788
060855033133,105625,1457
060855033151,99722,2121
060855033152,89643,1434
060855033153,68810,4484
060855033211,174079,1720
060855033212,106318,2908
060855033221,106726,1126
060855033222,88250,1697
060855033223,83542,1130
060855033231,112577,2029
060855033232,80977,2686
060855033241,100500,2078
060855033242,129821,1387
060855033251,95924,2255
060855033252,93636,2435
060855033261,181333,4577
060855033262,161250,2217
060855033271,88977,1881
060855033272,128631,1612
060855033273,95278,1452
060855033291,162969,1590
060855033292,134750,1661
060855033301,191538,2094
060855033302,176071,1581
060855033303,170208,4017
060855033311,46858,2040
060855033312,146618,1461
060855033321,59352,1225
060855033322,73750,812
060855033323,130000,819
060855033324,112750,2682
060855033331,157941,1780
060855033332,117007,2616
060855033341,188977,4988
060855033342,225324,1737
060855033343,180530,2399
060855033361,95446,1672
060855033362,82344,1845
060855033371,80262,2609
060855033372,105875,1235
060855034011,77500,1287
060855034012,56696,1145
060855034013,81964,2167
060855034021,-1,15
060855034022,26129,1927
060855034023,45156,3388
060855035041,46719,1221
060855035042,57957,1766
060855035043,88281,1747
060855035044,95729,625
060855035045,29574,574
060855035061,47604,2590
060855035062,61897,1844
060855035063,53750,1511
060855035071,68846,1823
060855035072,77778,666
060855035081,64266,3568
060855035082,65143,3336
060855035091,70268,2138
060855035092,114671,1088
060855035093,87188,1210
060855035101,42065,3140
060855035102,61734,1078
060855035103,53036,1598
060855035111,85045,1486
060855035112,83750,2146
060855036011,50313,996
060855036012,45486,1999
060855036021,69886,2302
060855036022,40278,1826
060855036023,32833,820
060855037031,101500,737
060855037032,51890,938
060855037033,41625,2047
060855037071,64575,1379
060855037072,57864,2631
060855037073,77824,1205
060855037081,54231,1771
060855037082,72120,700
060855037091,48598,2590
060855037092,19931,1738
060855037093,24669,1437
060855037101,22574,1606
060855037102,34643,1696
060855037111,62941,1313
060855037112,38589,1774
060855037113,49667,1975
060855037121,62411,776
060855037122,34306,3163
060855037131,21302,1899
060855037132,41929,1349
060855038021,74063,3009
060855038022,71667,1369
060855038023,52917,1542
060855038024,89632,2653
060855038031,75872,3080
060855038032,124896,1627
060855038041,75682,2237
060855038042,34643,1528
060855038043,72292,1636
060855039021,49025,1852
060855039022,90870,305
060855039023,95446,1297
060855039024,56272,2281
060855039031,47165,1867
060855039032,35313,1730
060855040011,68021,1931
060855040012,73938,2138
060855040013,45607,1654
060855040021,47569,2347
060855040022,56500,3671
060855041011,62895,1197
060855041012,53750,3625
060855041021,70800,2730
060855041022,72875,1754
060855041023,72500,1382
060855042011,95375,2509
060855042012,74444,1046
060855042013,136528,1708
060855042021,150333,1129
060855042022,103361,1590
060855042023,108370,1947
060855043071,113523,2946
060855043072,85000,2871
060855043081,110511,1942
060855043082,89792,1060
060855043083,166406,1424
060855043111,96038,2895
060855043112,140288,2443
060855043113,115769,1750
060855043141,94500,992
060855043142,78906,1467
060855043143,80250,921
060855043144,90714,1230
060855043151,61858,1550
060855043152,102339,951
060855043153,91152,1715
060855043154,59125,704
060855043155,89318,1424
060855043161,98125,2575
060855043162,83068,2060
060855043163,76000,572
060855043171,87321,2287
060855043172,120573,2017
060855043181,79453,2960
060855043182,68750,331
060855043183,46425,1794
060855043191,82610,3508
060855043192,102143,1789
060855043193,96250,1977
060855043201,112273,1903
060855043202,103661,998
060855043211,115764,2346
060855043212,80469,1896
060855043213,105000,1316
060855043221,48906,1490
060855043222,146058,1973
060855043223,121677,1868
060855043231,102938,1990
060855043232,95469,3535
060855043233,63299,696
060855044101,83886,2451
060855044102,59896,2498
060855044111,99688,3173
060855044112,97125,2486
060855044151,161111,2221
060855044161,114688,1858
060855044162,79000,1547
060855044171,88333,465
060855045041,79375,857
060855045042,-1,0
060855045043,147500,2997
060855045044,114135,5712
060855045051,89821,717
060855045052,113571,2585
060855045053,84922,1393
060855046021,70114,1728
060855048021,56950,1641
060855048022,97083,1355
060855048023,93011,2157
060855048031,53478,1705
060855048032,115000,4789
060855048051,73083,4261
060855048052,80655,1893
060855048061,96607,1243
060855048062,86650,1461
060855049011,123472,9815
060855050011,113259,4237
060855050012,87656,1716
060855050013,88750,2597
060855050014,63500,1049
060855050015,177750,666
060855050061,163429,889
060855050062,128906,2700
060855050071,128929,1380
060855050072,58365,2948
060855050081,124229,5081
060855050082,-1,0
060855050091,65625,3118
060855050092,60724,1157
060855050093,96656,2572
060855051001,76875,3092
060855051002,-1,203
060855052021,31875,1159
060855052022,69142,3425
060855052023,54831,1877
060855052031,102545,4028
060855052032,72417,798
060855053011,74207,1235
060855053012,165750,840
060855053013,137969,582
060855053014,41979,1797
060855053021,94688,2166
060855053022,89034,1703
060855053031,80757,1453
060855053032,75417,2395
060855053033,90577,522
060855053034,47027,2175
060855053041,122083,601
060855053042,104688,961
060855053043,157143,780
060855053044,97826,801
060855053051,121544,1330
060855053052,120469,921
060855053053,89167,2649
060855053054,123500,1234
060855054011,45025,803
060855054012,103822,1741
060855054013,101638,1831
060855054014,81771,801
060855054015,111699,814
060855054021,89643,986
060855054022,89950,1786
060855054031,85656,1433
060855054032,80586,2041
060855054033,106009,2495
060855055001,92443,855
060855055002,55897,1819
060855055003,100865,1210
060855056001,52647,1436
060855056002,61667,490
060855056003,29036,2130
060855057001,57986,786
060855057002,53229,1500
060855057003,69951,1928
060855057004,74309,2066
060855058001,68068,1183
060855058002,78966,790
060855058003,123155,698
060855058004,91991,1072
060855059001,63589,2672
060855059002,48542,1135
060855059003,138750,912
060855059004,82096,1636
060855059005,69583,1046
060855060001,92303,1367
060855060002,98750,503
060855060003,96563,1802
060855060004,75625,465
060855061011,74850,1285
060855061012,133482,2001
060855061013,96719,1527
060855061021,128500,1396
060855061022,96250,2325
060855061031,102396,1630
060855061032,136875,736
060855061033,109808,1101
060855061034,105469,1192
060855062021,158750,2109
060855062022,116382,2471
060855062023,88274,2649
060855062031,71111,1541
060855062032,68777,2490
060855062033,91439,2256
060855062041,71071,2316
060855062042,66528,1134
060855062043,84531,1100
060855062044,125673,1138
060855063011,54500,1013
060855063012,66393,2286
060855063013,87348,1426
060855063014,91417,858
060855063021,86987,2416
060855063022,142601,2322
060855063023,97643,1545
060855063041,63571,2967
060855063042,57411,319
060855063043,66641,2187
060855063051,109170,2163
060855063052,45838,1958
060855063053,44514,1783
060855063054,36781,2151
060855064011,53521,2888
060855064012,112328,1690
060855064021,73938,1727
060855064022,97550,854
060855064023,42805,2546
060855064024,104100,1127
060855065011,47095,2516
060855065012,55825,3490
060855065013,43600,2157
060855065021,83295,1496
060855065022,85729,996
060855065023,120066,1548
060855065031,70524,1928
060855065032,86579,1969
060855065033,71199,1987
060855066011,86736,2163
060855066012,107708,948
060855066013,54779,1495
060855066031,108482,740
060855066032,114861,2054
060855066033,80500,1448
060855066041,63071,571
060855066042,98661,1260
060855066043,129120,1298
060855066044,126319,1371
060855066045,99844,2278
060855066051,76397,2424
060855066052,86806,1762
060855066061,111480,619
060855066062,92625,2202
060855066063,69783,1273
060855067011,132763,688
060855067012,98281,1593
060855067013,109914,1362
060855067021,90195,2565
060855067022,112557,2013
060855067023,71806,1451
060855067031,101167,1848
060855067032,66993,989
060855067033,92083,824
060855068011,100588,1562
060855068012,89135,1709
060855068013,217788,1939
060855068014,103656,729
060855068021,106625,1567
060855068022,106500,1129
060855068023,115074,700
060855068024,123250,708
060855068025,110625,879
060855068031,99299,1566
060855068032,142344,1144
060855068033,95357,3013
060855068034,112896,1560
060855068041,117969,543
060855068042,120156,1062
060855068043,167917,1148
060855068044,154643,842
060855069001,117955,1251
060855069002,166181,2076
060855069003,163315,1942
060855069004,102813,1944
060855070011,109531,2137
060855070012,151250,2689
060855070013,155268,1555
060855070014,108036,670
060855070021,201711,1859
060855070022,231518,1371
060855071001,130313,990
060855071002,81020,1628
060855072031,128667,1547
060855072032,100000,1236
060855072051,126607,672
060855072052,126250,1531
060855072053,129688,1826
060855072054,219615,754
060855072061,223973,1371
060855072062,165417,1469
060855073011,191731,842
060855073012,226600,1570
060855073013,250001,1090
060855073014,250001,656
060855073015,155461,1483
060855073016,46925,1324
060855073021,140417,1784
060855073022,183214,787
060855074011,140227,1170
060855074012,141369,1146
060855074013,240938,1669
060855074014,144375,988
060855074015,159722,567
060855074021,147273,1486
060855074022,161667,1240
060855074023,98894,1220
060855075001,171648,1928
060855075002,165500,1440
060855075003,159028,985
060855075004,151071,1327
060855076003,250001,1737
060855076004,126922,2113
060855078071,109844,1336
060855078083,151719,1496
060855078084,148875,1981
060855079031,154605,1574
060855079032,126250,3222
060855079041,147604,1847
060855079042,195125,1664
060855079051,84327,1820
060855079052,138393,1935
060855079053,141083,2685
060855079061,112000,1365
060855079062,110795,1417
060855079063,164432,924
060855079064,200625,888
060855080011,113786,2746
060855080012,114896,1303
060855080013,122878,3433
060855080014,117132,575
060855080031,101544,1571
060855080032,115625,707
060855080041,92582,2567
060855080042,121125,1448
060855080043,112593,2323
060855081011,127105,2232
060855081012,139342,1974
060855081013,109140,2595
060855081021,133816,3241
060855082021,108529,1850
060855082022,91125,2251
060855082023,149141,688
060855082024,124893,1615
060855082025,130083,1111
060855082031,142283,1306
060855082032,138056,1370
060855082033,124958,2350
060855082041,106625,2041
060855082042,133365,883
060855082043,120795,1416
060855084041,126964,3041
060855085031,96570,1582
060855085032,121875,1719
060855085033,90766,2953
060855085041,94091,2919
060855085042,94913,1700
060855085043,67143,1217
060855085044,90774,2260
060855085051,164432,994
060855085052,138438,981
060855085053,98750,2338
060855085071,103423,1546
060855085072,98958,1191
060855085081,206339,840
060855085082,138854,1499
060855085083,60536,2392
060855085084,60227,554
060855086021,71528,2198
060855086022,95000,1205
060855086023,97917,953
060855087031,90579,984
060855087032,109688,1574
060855087033,153897,1254
060855087034,87083,948
060855087035,92110,2664
060855087041,95982,1461
060855087042,77333,2007
060855087043,102885,1615
060855088001,106042,2315
060855088002,47266,1801
060855089001,72663,2958
060855089002,90817,1945
060855089003,90509,981
060855090001,87222,3380
060855090002,95958,1464
060855090003,103088,2341
060855090004,54911,977
060855091021,109819,1956
060855117071,131958,2974
060855118001,108448,2110
060855118003,119167,1288
060855119051,131944,2966
060855119071,121667,1632
060855119072,139545,2467
060855119091,185764,3073
060855119092,149821,2937
060855119093,187566,2726
060855119101,162500,944
060855119102,163529,772
060855119103,197917,1417
060855119111,86484,2397
060855119112,150577,812
060855119113,151667,1802
060855119121,167125,2174
060855119122,131326,2032
060855119123,144875,1328
060855119131,142344,1256
060855119132,150375,1738
060855119133,137708,1380
060855119141,163750,1614
060855119142,141042,2475
060855119143,139125,1765
060855119151,71010,1023
060855119152,40370,2635
060855119161,47950,1731
060855119162,155335,2775
060855120011,157813,3351
060855120012,133478,1102
060855120013,115625,2567
060855120051,117462,1280
060855120052,78092,1001
060855120053,89219,843
060855120054,95156,1048
060855120055,83750,2513
060855120171,52481,2583
060855120172,52273,2517
060855120173,75625,3360
060855120191,91146,901
060855120192,83173,2073
060855120193,86016,1595
060855120201,92831,1101
060855120202,98068,2294
060855120203,75679,3687
060855120211,131354,1440
060855120212,110515,1220
060855120213,98854,1666
060855120214,80385,1657
060855120221,154050,1079
060855120222,68281,2010
