Id,Median,Total
530330001001,113450,1191
530330001002,30765,995
530330001003,67585,1590
530330001004,22224,1704
530330001005,34881,802
530330002001,82813,989
530330002002,34053,918
530330002003,43268,1570
530330002004,48491,1037
530330002005,50258,1498
530330002006,76369,1360
530330003001,55417,1250
530330003002,80054,1291
530330004011,30176,3373
530330004012,60859,1604
530330004013,24545,1133
530330004021,48673,1012
530330004022,60577,975
530330004023,37097,1151
530330004024,45750,1358
530330005001,134018,1185
530330005002,142019,837
530330005003,108875,1097
530330006001,58510,1063
530330006002,37945,1188
530330006003,61667,1321
530330006004,77902,1550
530330006005,81397,610
530330006006,58681,1473
530330007001,43846,1808
530330007002,44350,1008
530330007003,72991,957
530330007004,83482,582
530330008001,64315,1270
530330008002,84167,1421
530330009001,92188,1250
530330009002,107500,745
530330010001,65682,806
530330010002,68750,1085
530330011001,79712,1216
530330011002,84375,1433
530330012001,65583,967
530330012002,40665,961
530330012003,26929,1396
530330012004,40754,1241
530330012005,35224,1661
530330013001,50173,1569
530330013002,61627,1678
530330013003,47011,1331
530330014001,70972,1487
530330014002,71250,743
530330014003,60231,1423
530330014004,104844,1484
530330015001,96983,1364
530330015002,103750,1204
530330016001,88854,1176
530330016002,99265,1191
530330016003,70920,1587
530330017011,63015,1756
530330017012,82708,962
530330017013,82727,1318
530330017021,57875,1452
530330017022,65400,874
530330017023,64551,970
530330017024,74167,684
530330018001,94107,2048
530330018002,92180,1662
530330018003,79598,1394
530330019001,47228,1961
530330019002,84091,1360
530330019003,90705,1024
530330020001,53958,1361
530330020002,75227,1200
530330020003,81250,888
530330021001,102738,1520
530330021002,78077,892
530330021003,81705,1469
530330022001,84135,1652
530330022002,62333,1277
530330022003,123861,1370
530330022004,105104,1057
530330024001,106797,844
530330024002,64408,772
530330024003,107500,1313
530330025001,108011,1332
530330025002,94087,1618
530330026001,80945,1262
530330026002,112386,1478
530330026003,88750,1146
530330026004,99412,980
530330027001,70734,1571
530330027002,136667,1300
530330027003,110938,902
530330027004,105284,1405
530330028001,126016,1065
530330028002,75577,999
530330028003,54574,1056
530330028004,74554,1488
530330029001,72064,1495
530330029002,95707,1362
530330029003,102500,1184
530330030001,105865,1570
530330030002,86875,1432
530330030003,68534,1394
530330030004,107891,1139
530330031001,85781,1316
530330031002,67679,937
530330031003,77604,970
530330031004,117786,1728
530330031005,121094,1222
530330032001,78672,808
530330032002,46930,1328
530330032003,66719,1202
530330032004,34667,1017
530330032005,90556,656
530330032006,66161,1732
530330032007,87308,999
530330033001,75286,1287
530330033002,70263,872
530330033003,62750,1961
530330033004,78894,879
530330033005,68750,1070
530330034001,108789,1251
530330034002,92245,1238
530330034003,107188,961
530330035001,89688,1379
530330035002,81000,1373
530330035003,61667,1098
530330036001,47039,1303
530330036002,78850,1450
530330036003,73906,1162
530330036004,63416,2040
530330038001,79141,1126
530330038002,83929,1075
530330039001,96419,2110
530330039002,97813,982
530330040001,60417,1992
530330040002,153929,978
530330041001,66875,1172
530330041002,154196,1939
530330041003,210978,1545
530330041004,86081,1435
530330041005,59219,1027
530330041006,190417,975
530330042001,135625,1591
530330042002,90357,1510
530330042003,81635,1340
530330042004,127143,2025
530330042005,119667,1546
530330043011,29000,1208
530330043012,59150,1097
530330043013,121250,1236
530330043021,6917,1831
530330043022,22857,1712
530330044001,91607,1568
530330044002,79571,1710
530330044003,43264,1193
530330044004,32143,1727
530330045001,59444,1241
530330045002,123750,1809
530330046001,107778,1043
530330046002,121000,1346
530330046003,89545,944
530330047001,92989,1154
530330047002,46736,1394
530330047003,68762,2346
530330047004,57083,2531
530330048001,85500,904
530330048002,103333,1382
530330048003,60327,1274
530330048004,87469,1230
530330049001,72500,1125
530330049002,68393,880
530330049003,67535,1251
530330049004,67578,1715
530330049005,49428,1584
530330050001,84318,1416
530330050002,96667,775
530330050003,47634,1516
530330051001,70313,1412
530330051002,142813,1318
530330051003,109643,887
530330052001,23649,1219
530330052002,27171,1046
530330052003,45331,1154
530330052004,87308,1993
530330052005,18608,1230
530330053011,15536,2929
530330053012,13432,1995
530330053013,11506,1102
530330053014,3520,782
530330053021,3393,1187
530330053022,-1,754
530330053023,-1,3775
530330054001,105903,846
530330054002,89732,1337
530330054003,54523,1354
530330054004,49728,1241
530330056001,141181,1221
530330056002,153504,1528
530330056003,225813,1328
530330056004,132132,979
530330056005,121308,1143
530330057001,76037,718
530330057002,104013,1575
530330057003,89012,817
530330057004,85000,762
530330057005,68750,946
530330057006,61354,1635
530330058011,66875,1157
530330058012,57563,1506
530330058013,73724,1242
530330058014,68750,1347
530330058021,71991,1751
530330058022,57275,1755
530330058023,90959,1792
530330059001,60000,1945
530330059002,79542,1500
530330059003,39500,1652
530330059004,87841,1387
530330059005,121250,1412
530330060001,73644,1177
530330060002,146054,1523
530330060003,135114,1504
530330060004,72978,1141
530330061001,108083,1347
530330061002,73167,1121
530330061003,67417,1484
530330061004,58803,1400
530330062001,89250,1492
530330062002,126029,1523
530330062003,119231,859
530330063001,86638,1402
530330063002,113750,1331
530330063003,155357,1160
530330063004,113472,1234
530330064001,130987,1028
530330064002,170500,945
530330064003,135750,1260
530330065001,106944,870
530330065002,78203,1589
530330065003,88224,1573
530330066001,75688,1272
530330066002,71738,1881
530330067001,85268,2029
530330067002,77576,1651
530330067003,81207,861
530330067004,77808,2136
530330068001,94375,1305
530330068002,89625,1669
530330069001,115938,1114
530330069002,91797,1173
530330069003,75865,908
530330069004,82500,1042
530330070001,96935,981
530330070002,35327,974
530330070003,59309,1865
530330070004,69605,1077
530330070005,46932,1125
530330070006,51382,1149
530330071001,41449,1191
530330071002,81172,1792
530330072001,52194,2735
530330072002,45000,1573
530330072003,58136,1244
530330073001,61500,2031
530330073002,31085,1299
530330073003,103635,1511
530330074011,63168,1104
530330074012,86274,1298
530330074013,52868,1093
530330074014,55417,835
530330074021,47788,2055
530330074022,31948,1788
530330074023,30804,1467
530330075001,48226,1190
530330075002,52031,1169
530330075003,43438,2168
530330075004,67279,1622
530330075005,52975,1065
530330076001,80125,1282
530330076002,54776,1347
530330076003,61788,1298
530330077001,96667,1234
530330077002,100089,887
530330077003,74239,1100
