Id,Median,Total
220150104001,35125,1019
220150104002,25762,902
220150105001,46827,1841
220150105002,17292,1306
220150105003,42581,842
220150105004,78352,801
220150106011,35987,2088
220150106013,25469,2818
220150106014,35250,1002
220150106021,21587,1711
220150106022,29097,1065
220150107011,38315,966
220150107012,45125,977
220150107013,29656,1187
220150107014,33220,1172
220150107021,33342,647
220150107022,25278,772
220150107023,50050,2221
220150108011,36544,1242
220150108012,18879,978
220150108013,32768,983
220150108051,57372,2065
220150108052,26844,1118
220150108062,68375,833
220150108063,60851,1932
220150109002,56635,2212
220150110022,91563,2221
220150111082,91750,5764
220150111091,113571,3268
220150111101,65341,3941
220150111102,105052,2545
220150111103,36991,1508
220150113001,14313,1438
220150113002,22824,543
220170205001,32917,1051
220170205002,26886,2104
220170206001,17564,1080
220170207001,18112,751
220170207002,29200,358
220170210001,47219,1234
220170210002,10598,673
220170211001,25614,903
220170211002,23194,610
220170211003,21212,1574
220170212001,38068,843
220170212002,32069,1142
220170212003,46792,1233
220170212004,34276,677
220170213001,13712,1456
220170213002,35125,776
220170213003,32467,664
220170214001,52969,1254
220170214002,43953,1187
220170215001,33952,1211
220170215002,57011,1123
220170216001,25227,975
220170216002,47500,957
220170216003,68047,879
220170216004,57829,650
220170217001,25156,885
220170217002,28269,943
220170218001,40156,1198
220170218002,20799,462
220170219001,26985,1058
220170219002,20156,572
220170220001,17788,1187
220170220002,26344,919
220170221001,28162,1619
220170221002,41875,718
220170221003,19900,319
220170221004,25441,366
220170221005,21111,557
220170221006,26171,1674
220170221007,20595,993
220170222001,19612,1167
220170222002,30500,1404
220170222003,30625,892
220170222004,19688,1818
220170223001,20035,796
220170223002,13621,677
220170223003,21964,461
220170223004,30357,764
220170224001,31029,1292
220170224002,18955,1170
220170224003,32870,1362
220170225001,32609,953
220170225002,27460,1294
220170225003,29280,1577
220170225004,34663,1030
220170226001,86406,1076
220170226002,99688,473
220170226003,116023,1518
220170227001,54231,1149
220170227002,79018,1206
220170228001,57115,1010
220170228002,44886,963
220170228003,82778,1312
220170228004,55486,1005
220170229001,52589,1261
220170229002,68385,2099
220170229003,60101,826
220170229004,33077,1196
220170230001,72574,1782
220170230002,52389,1972
220170230003,86875,1132
220170231001,160208,704
220170231002,161103,1003
220170232001,27083,1002
220170232002,19783,619
220170233001,25455,640
220170233002,21786,820
220170233003,22891,612
220170234001,31004,1009
220170234002,39423,1558
220170234003,33596,946
220170234004,39375,935
220170234005,19038,1075
220170234006,31763,1140
220170235001,21369,782
220170235002,22273,825
220170235003,18696,702
220170235004,17047,930
220170236001,20962,887
220170236002,33750,1106
220170236003,20051,811
220170237001,15529,1041
220170237002,43571,589
220170237003,36004,2059
220170237004,30100,2287
220170237005,24569,752
220170238001,18235,1232
220170238002,80595,1234
220170238003,28442,1811
220170238004,38409,1128
220170238005,69861,1226
220170239011,45833,2535
220170239012,55417,350
220170239013,55500,2005
220170239014,57614,1308
220170239031,12813,698
220170239032,68594,1730
220170239033,48067,1832
220170239041,59464,2500
220170239042,27125,700
220170239051,49018,2580
220170239052,39741,2113
220170240001,116146,3125
220170240002,103036,2501
220170240003,129464,3079
220170240004,83292,1959
220170241021,61453,2554
220170241022,45720,1675
220170241041,27045,1565
220170241042,27093,785
220170241043,41318,1023
220170241044,48102,1557
220170241045,45018,1732
220170241061,34289,1717
220170241062,36411,1494
220170241063,45932,1113
220170241064,47900,1621
220170241065,51645,1830
220170241071,42500,1605
220170241072,55750,2366
220170241073,63199,1534
220170241081,34988,1276
220170241082,23977,427
220170241083,30852,2293
220170241084,63125,392
220170241085,88789,2652
220170241091,65083,791
220170241092,43864,1137
220170241093,52188,1472
220170242011,62843,2018
220170242012,36680,1969
220170242021,83153,1535
220170242022,59583,3306
220170242023,58005,2304
220170242033,58919,2597
220170243011,48611,714
220170243012,29104,1637
220170243013,76875,2905
220170243014,44911,2481
220170243031,30556,2954
220170243032,31462,514
220170243033,62321,1431
220170243034,30389,842
220170243041,54648,3434
220170243042,31923,1728
220170244001,62634,1614
220170244002,75982,2392
220170244003,53980,1216
220170245031,45333,1267
220170245033,39922,1913
220170245041,64659,2514
220170246011,22995,3179
220170246012,9813,1405
220170246013,29375,607
220170246021,20728,1056
220170246022,21773,1796
220170246023,15076,423
220170246024,44333,510
220170246025,14211,2008
220170247001,72237,830
220170247002,72159,1115
220170248001,42222,892
220170252001,12619,120
220170252002,15208,1121
220170253001,20813,911
220170253002,12617,553
220170254051,64875,2426
220170254052,42500,1479
220170254061,47217,3263
220170254062,43769,1277
220179800001,-1,0
220319501001,51020,3473
220319501002,65323,2073
