Id,Median,Total
530630002001,27264,963
530630002002,23194,565
530630002003,34800,1067
530630002004,41768,1050
530630002005,49613,1311
530630003001,30469,1235
530630003002,37992,1096
530630003003,27118,1766
530630003004,44625,1264
530630004001,35039,1927
530630004002,31219,1071
530630004003,30313,1504
530630005001,44271,806
530630005002,52054,1389
530630005003,35885,1039
530630006001,39432,1096
530630006002,55167,1229
530630006003,61042,885
530630007001,35625,789
530630007002,44634,1385
530630007003,36157,932
530630007004,34914,309
530630007005,60991,336
530630007006,57546,883
530630008001,52634,2535
530630008002,67623,2321
530630009001,30150,610
530630009002,62159,885
530630009003,55682,930
530630009004,36532,802
530630009005,49167,715
530630009006,45313,2080
530630010001,62953,1069
530630010002,75313,981
530630010003,38269,471
530630010004,60781,818
530630010005,81250,946
530630010006,53995,1571
530630011001,46625,1073
530630011002,59000,1381
530630011003,57663,993
530630012001,30000,775
530630012002,40800,1310
530630013001,51382,1232
530630013002,32500,1348
530630013003,51542,1004
530630014001,31820,2219
530630014002,35233,1742
530630014003,33946,611
530630014004,35435,1707
530630015001,32137,1201
530630015002,39806,1488
530630015003,43702,931
530630015004,49125,377
530630015005,24266,1014
530630016001,20850,1339
530630016002,49896,909
530630016003,32174,1430
530630018001,28993,1419
530630018002,33631,1559
530630019001,52806,1507
530630019002,35114,1283
530630019003,39028,521
530630020001,50855,896
530630020002,28750,538
530630020003,18750,899
530630020004,27404,920
530630020005,29966,718
530630021001,53452,928
530630021002,32813,1502
530630023001,18241,1131
530630023002,25114,1089
530630023003,27279,1645
530630023004,51447,943
530630024001,17422,1741
530630024002,15121,1001
530630025001,30167,601
530630025002,30388,1116
530630025003,22067,556
530630025004,4821,2751
530630025005,12704,1647
530630025006,28681,958
530630026001,30938,1344
530630026002,37039,1513
530630026003,29375,635
530630026004,30746,1637
530630029001,42417,1084
530630029002,60694,1075
530630029003,56641,1215
530630030001,20268,1247
530630030002,26538,1409
530630031001,12095,1483
530630031002,63973,1414
530630031003,33095,726
530630031004,58500,2004
530630032001,31094,666
530630032002,26926,697
530630032003,35000,775
530630032004,28438,529
530630035001,21649,1283
530630035002,9171,947
530630036001,25197,1572
530630036002,20729,1181
530630036003,36940,1025
530630036004,46071,551
530630038001,49400,595
530630038002,48750,1190
530630039001,29757,610
530630039002,64500,1575
530630040001,24073,1051
530630040002,25665,916
530630040003,65893,721
530630040004,25607,1341
530630040005,15957,827
530630041001,36607,676
530630041002,43173,908
530630041003,73750,674
530630042001,117903,785
530630042002,62716,1226
530630042003,63906,630
530630042004,84130,780
530630042005,79957,1280
530630043001,46429,631
530630043002,87361,727
530630043003,82778,1826
530630044001,31118,1601
530630044002,67031,727
530630044003,77396,845
530630044004,63382,1068
530630045001,112708,1184
530630045002,74313,1071
530630045003,58889,1336
530630046011,68073,1768
530630046012,86429,694
530630046013,21513,1199
530630046021,44583,821
530630046022,73594,582
530630046023,56875,1404
530630047001,52589,2049
530630047002,47083,1052
530630047003,63636,1226
530630047004,50469,2025
530630048001,82188,2697
530630048002,31573,897
530630049001,56081,1699
530630049002,41595,1530
530630049003,83333,1015
530630049004,87411,1475
530630050001,44727,2906
530630050002,148850,860
530630102021,107730,2179
530630104021,74158,3103
530630105012,63102,1200
530630105014,81250,1613
530630105033,74018,1746
530630106011,65120,1448
530630106012,78792,2190
530630106021,80943,3510
530630106022,72344,867
530630106023,93857,1174
530630106024,92679,1737
530630107001,91362,6233
530630108001,35119,2078
530630109001,68036,1761
530630109002,58150,3212
530630110001,68095,1337
530630110002,37169,1176
530630110003,46750,1809
530630111011,19295,1268
530630111012,19783,1068
530630111013,33085,1545
530630111014,24508,1215
530630111021,54574,2247
530630111022,22981,1522
530630112011,47204,1942
530630112012,40227,1564
530630112013,32925,2094
530630112014,36175,1391
530630112021,34178,1345
530630112022,38750,822
530630112023,58750,705
530630112024,46635,950
530630113001,94514,2533
530630113002,20278,1244
530630113003,67177,1612
530630115002,57679,471
530630117012,53170,1688
530630121003,38958,1168
530630122001,35750,1014
530630122002,51656,1189
530630123001,47426,1255
530630123002,17051,852
530630123003,76500,1810
530630123004,33800,1631
530630124011,50912,1719
530630133001,92738,1313
530630134011,90625,1781
530630134012,106027,3168
530630135001,104412,2062
530630135002,96944,4744
530630135003,58807,1177
530630136001,55200,1697
530630136002,54500,2396
530630137001,44987,3610
530630144001,19561,603
530630144002,49559,1277
530630144003,40764,1686
530630144004,49310,1393
530630145001,14152,424
530630145002,33967,1326
530630145003,29306,431
