Id,Median,Total
250138001011,39583,1037
250138001012,18992,1483
250138001013,50272,1405
250138001021,28448,2627
250138001022,18875,1093
250138001023,29398,1008
250138002011,32546,999
250138002012,58398,1925
250138002013,33359,665
250138002014,35337,1137
250138002015,39411,1551
250138002021,43352,1337
250138003001,39464,1312
250138003002,38462,1040
250138003003,43006,1525
250138003004,56591,605
250138004001,23623,2061
250138004002,37413,930
250138004003,54416,1053
250138004004,54551,1286
250138004005,22172,931
250138005001,58864,1526
250138005002,31750,934
250138005003,51471,996
250138006001,17326,874
250138006002,22670,1197
250138006003,18533,819
250138007001,14382,1436
250138007002,13947,2282
250138008001,15509,1285
250138008002,16601,719
250138009001,18423,1731
250138009002,9830,1633
250138009003,21912,1046
250138011011,11752,2062
250138011021,25658,734
250138011022,14583,699
250138012001,17083,984
250138012002,15313,1069
250138012003,22014,644
250138013001,30136,943
250138013002,12938,1050
250138013003,32926,1582
250138013004,32348,1130
250138014011,21343,1951
250138014012,29875,2009
250138014021,60742,1114
250138014022,46250,963
250138015011,48241,2254
250138015012,72115,1025
250138015013,40186,1105
250138015014,51169,1723
250138015021,34034,1032
250138015022,28000,1010
250138015023,22083,1281
250138015031,45234,1503
250138015032,30440,1696
250138015033,44449,986
250138016011,65664,2470
250138016012,93750,672
250138016013,43750,1329
250138016014,42695,641
250138016021,39750,2656
250138016022,72500,945
250138016023,48875,1353
250138016031,44795,1658
250138016032,63654,2596
250138016041,73780,2637
250138016042,79306,1089
250138016051,80742,1445
250138016052,31579,2637
250138016053,75179,533
250138017001,46932,867
250138017002,19125,1996
250138017003,18934,965
250138017004,23393,1679
250138017005,32793,1779
250138017006,43438,603
250138018001,10968,644
250138018002,36596,1331
250138018003,30938,986
250138018004,17500,499
250138018005,19514,815
250138019011,14056,1145
250138019012,24589,2680
250138019021,14928,1836
250138019022,16190,1173
250138019023,19226,494
250138020001,19668,2355
250138020002,16875,572
250138021001,30214,2081
250138021002,51429,630
250138021003,65391,734
250138021004,23354,905
250138021005,25795,375
250138021006,68350,1107
250138022001,32500,805
250138022002,34375,1111
250138022003,18971,1157
250138023001,24875,452
250138023002,37148,2390
250138023003,33427,2229
250138023004,18690,432
250138023005,31152,1208
250138024001,74375,602
250138024002,70462,680
250138024003,66109,1464
250138024004,52500,666
250138025001,65982,1088
250138025002,68000,1385
250138025003,45030,855
250138025004,91346,1048
250138025005,68533,1361
250138025006,71319,755
250138026011,58309,719
250138026012,41919,1438
250138026013,34737,938
250138026014,24936,1487
250138026015,27989,1144
250138026016,41354,1215
250138026021,59325,1850
250138104031,57841,1319
250138104032,45708,1722
250138104033,64722,1294
250138104042,65813,2839
250138106011,40875,661
250138106013,51069,1354
250138106021,83203,2584
250138107001,60192,2135
250138107002,68462,828
250138107003,41161,1639
250138107004,57500,762
250138107005,45890,1326
250138108001,35903,1503
250138108002,40286,1443
250138108003,45385,867
250138109011,25859,1815
250138109021,59605,1300
250138109022,47903,637
250138109023,35938,1383
250138109024,32802,1098
250138110003,66008,556
250138110004,36979,1379
250138110005,50086,916
250138111022,28722,2167
250138111023,62391,1407
250138122011,56757,2739
250138122012,50192,1206
250138122013,31972,1102
250138122021,47672,2123
250138122023,31563,867
250138123001,46696,1345
250138123003,35235,2224
250138123004,30077,962
250138132051,52134,1888
250138132071,64125,2146
250138132081,80625,1587
250138132082,70694,1581
250138132091,53214,1278
250138132092,50913,1576
250138132093,64229,3057
250138133011,118125,2984
250138133013,69153,2002
250138133031,137596,2089
250138133032,60833,2253
250138134011,75833,929
250138134012,92419,1104
250138134013,54931,1835
250138134014,55292,991
250138134031,89444,3232
250138134032,38194,906
250138134041,121597,2438
250138134042,93516,1724
250138136011,71471,819
250138136013,81691,1439
250138136015,36270,1412
250138136022,111653,3222
