Id,Median,Total
060770001001,12218,1532
060770001002,12473,611
060770001003,58393,505
060770001004,25000,920
060770003001,27216,1157
060770003002,12170,784
060770004011,73393,777
060770004012,41319,720
060770004013,45500,854
060770004014,42401,594
060770004021,14750,843
060770004022,10737,932
060770004023,19592,708
060770004024,22212,1124
060770005001,24154,1451
060770005002,27917,1378
060770006001,30735,1048
060770006002,26875,972
060770007001,25132,1704
060770007002,29188,1211
060770007003,36957,1020
060770007004,23125,1399
060770008011,43000,1764
060770008012,59375,2543
060770008013,42788,3016
060770009001,48594,715
060770009002,58350,1814
060770009003,62941,826
060770009004,29844,1174
060770009005,33173,1284
060770010001,43100,1027
060770010002,40833,1142
060770010003,44702,1956
060770010004,81094,561
060770011011,46630,2133
060770011012,57635,1582
060770011013,53424,2095
060770011021,39202,1534
060770011022,38110,796
060770011023,33672,716
060770011024,45893,550
060770011025,21875,728
060770012001,89500,2481
060770012002,53864,1102
060770012003,56711,947
060770012004,76250,915
060770013001,35357,1312
060770013002,36506,1957
060770013003,47120,1173
060770013004,61250,1269
060770014001,54145,1101
060770014002,18592,1226
060770014003,43125,800
060770014004,42723,1663
060770015001,55287,3614
060770015002,22218,1759
060770015003,18933,1334
060770015004,29976,1433
060770016001,26667,1464
060770016002,44875,805
060770017001,39091,1902
060770017002,35760,1239
060770017003,35393,658
060770018001,27738,1321
060770018002,38897,2260
060770019001,36544,1669
060770019002,27697,1299
060770019003,27297,1396
060770019004,25781,880
060770020001,27368,951
060770020002,33633,1463
060770020003,35670,1634
060770021001,26350,1522
060770021002,46123,2260
060770021003,33456,1461
060770022011,27188,1302
060770022012,29018,1250
060770022021,42879,1265
060770022022,37566,2314
060770022023,12036,2217
060770023001,20250,1605
060770023002,25938,1791
060770023003,41801,1646
060770024011,33548,1566
060770024012,50673,853
060770024013,30987,2005
060770024021,31712,1114
060770024022,21010,1017
060770025031,18854,882
060770025032,33365,1679
060770025041,53448,2652
060770025042,60607,2047
060770027011,31389,1121
060770027012,48651,1153
060770027013,34726,2103
060770027014,40699,2511
060770027021,41494,1231
060770027022,48684,1741
060770027023,38750,1591
060770028001,57821,4818
060770028002,41111,1291
060770031061,64936,1805
060770031062,37888,1403
060770031063,53077,418
060770031081,92083,1447
060770031082,50893,1334
060770031083,42841,1592
060770031091,31825,1047
060770031092,58397,1506
060770031093,37841,868
060770031094,64234,1486
060770031101,42857,1033
060770031102,34688,1128
060770031103,19087,1346
060770031111,53750,1751
060770031112,35719,1861
060770031121,36048,2528
060770031122,76218,1104
060770031131,25034,3191
060770031132,34518,983
060770031133,56667,1131
060770031134,52167,668
060770031141,106987,5295
060770031142,73897,1060
060770031143,72813,1714
060770031144,143125,1649
060770032031,42995,1471
060770032032,79667,2036
060770032051,83088,1015
060770032052,55828,2190
060770032053,72727,643
060770032081,88725,4734
060770032082,99942,4557
060770032083,54191,1692
060770032084,52423,1718
060770032091,66650,1194
060770032092,68958,577
060770032093,59967,1329
060770032101,60954,1966
060770032102,59750,972
060770032131,44722,1725
060770032132,73958,1172
060770032133,39556,785
060770032134,57684,1297
060770032141,85956,1427
060770032142,79500,1940
060770032151,93182,1035
060770032152,58846,1246
060770032153,52981,1286
060770032161,51189,1434
060770032162,47702,1437
060770032171,41543,1475
060770032172,35750,1645
060770033051,51929,1316
060770033052,51389,1382
060770033053,54444,1118
060770033061,42750,2982
060770033062,54012,1836
060770033071,39792,2207
060770033072,27175,1543
060770033073,22500,1548
060770033081,31435,1456
060770033101,37000,1420
060770033102,33964,2987
060770033111,42120,1905
060770033112,26053,1235
060770033121,51413,735
060770033122,13654,1301
060770033123,12448,775
060770033131,37269,1168
060770033132,23735,1522
060770034031,73864,1422
060770034032,53347,1672
060770034033,32389,1853
060770034041,29600,1424
060770034042,54808,1573
060770034043,48304,2417
060770034044,32375,1070
060770034051,38882,1297
060770034052,63553,1103
060770034053,25982,1630
060770034061,25018,3010
060770034062,32635,1019
060770034071,31996,1169
060770034072,32656,1693
060770034091,39840,2004
060770034092,57917,1273
060770034093,34536,1367
060770034101,42428,1489
060770034102,58375,2620
060770034103,35234,1504
060770035001,49071,1354
060770035002,60806,1191
060770035003,53707,16274
060770035004,87841,1059
060770035005,90457,857
060770036011,65250,726
060770036012,36842,762
060770036013,33913,1101
060770036014,95556,1141
060770036021,55000,393
060770036022,32399,1657
060770036023,68333,1085
060770037001,38432,1239
060770037002,23438,1466
060770037003,17317,372
060770038011,63984,8807
060770038012,71953,1766
060770038013,53807,2536
060770038021,65313,2011
060770038022,66210,1154
060770038023,74447,3048
060770038031,34643,1122
060770038032,39297,3937
060770038033,65313,1187
060770039001,30656,1202
060770039002,61250,576
060770040011,41750,1199
060770040021,93723,11531
060770041022,60208,1166
060770041023,77593,5671
060770041061,60417,864
060770047044,70750,901
060770051311,50365,1193
