Id,Median,Total
360670001001,31771,518
360670002001,33024,1351
360670002002,32687,1478
360670003001,70685,697
360670003002,37045,1019
360670004001,41250,1589
360670004002,48321,1154
360670004003,41176,775
360670005011,22313,902
360670005012,22102,1062
360670006001,27488,1386
360670006002,38512,1498
360670006003,21076,1182
360670007001,31894,1008
360670007002,36641,715
360670008001,31196,1167
360670008002,22593,1296
360670009001,67118,1193
360670009002,95859,1017
360670009003,60625,951
360670010001,37161,658
360670010002,42554,1304
360670010003,21705,780
360670010004,28227,1236
360670014001,26750,1101
360670014002,18333,1391
360670014003,29635,1005
360670015001,26250,1758
360670015002,20980,1130
360670016001,23010,2285
360670016002,21512,1339
360670017011,44076,1019
360670017012,18235,1495
360670017021,66181,1136
360670017022,40843,1438
360670018001,26894,751
360670018002,51923,672
360670018003,47630,1151
360670019001,46111,478
360670019002,48661,662
360670019003,33000,597
360670019004,54000,928
360670019005,46695,876
360670020001,28810,1082
360670020002,33250,1127
360670021011,22260,784
360670021012,26855,1245
360670021013,25455,1278
360670023001,23750,862
360670023002,16964,873
360670024001,24250,1154
360670024002,24866,789
360670027001,25000,768
360670027002,61000,506
360670027003,49934,577
360670029011,55411,1987
360670029012,33884,771
360670030001,15077,1023
360670030002,13324,861
360670032001,17404,584
360670032002,45179,1347
360670034001,14668,1223
360670035001,33958,830
360670035002,8750,505
360670035003,16964,811
360670036011,19539,1262
360670036012,32237,1183
360670036021,33504,1079
360670036022,65286,1015
360670038001,29712,1524
360670038002,18362,1037
360670039001,12318,651
360670039002,21134,846
360670039003,14415,1966
360670040001,26736,1769
360670042001,11167,960
360670042002,13443,1234
360670043011,9089,1660
360670043021,2499,791
360670043022,28125,5547
360670043023,9855,703
360670044001,9653,716
360670044002,19786,1544
360670045001,47222,792
360670045002,59118,1005
360670045003,50313,1203
360670045004,16149,1160
360670046001,72976,1304
360670046002,81304,911
360670046003,103182,1354
360670046004,78750,991
360670046005,39118,664
360670048001,59038,659
360670048002,75119,743
360670049001,29875,889
360670049002,48176,677
360670050001,58750,1798
360670050002,85781,1172
360670051001,15504,674
360670051002,34500,788
360670051003,30214,709
360670052001,20764,595
360670052002,28952,960
360670052003,22955,492
360670053001,31012,507
360670053002,13971,1304
360670054001,24946,905
360670054002,25625,945
360670054003,30938,380
360670054004,35436,755
360670055001,30000,591
360670055002,29896,1593
360670055003,17396,1506
360670056011,80000,1346
360670056021,12448,3191
360670057001,49625,745
360670057002,26920,1113
360670058001,27760,992
360670058002,15729,728
360670058003,31856,853
360670059001,15577,646
360670059002,37230,1020
360670060001,30590,890
360670060002,66447,656
360670060003,32300,1235
360670060004,32045,1089
360670061011,30172,1923
360670061012,33477,675
360670061013,18092,1435
360670061021,19231,795
360670061022,31474,1203
360670061031,61890,1826
360670061032,60800,733
360670128003,63750,1654
360670129001,37075,1580
360670130004,32792,776
360670130005,44817,898
360670132001,54375,1324
360670132002,76307,1532
360670137011,34321,1111
360670137012,37004,1916
360670137014,52228,971
360670142001,43500,1220
360670142002,41689,1610
360670142003,44559,1142
360670143002,12917,494
360670143003,54722,1096
360670144001,59213,761
360670144002,34023,629
360670144003,45380,777
360670145001,48967,2202
360670145002,54868,1731
360670146001,36583,2593
360670146002,63750,799
360670146003,59663,890
360670146004,69390,935
360670147001,71827,919
360670147002,101333,1585
360670147003,93542,986
360670147004,130000,1379
360670147005,94444,1219
360670148003,84638,985
360670149001,73229,2281
360670161001,70833,2387
360670162001,67875,594
360670162002,50192,1661
360670163001,98370,950
360670163002,92500,1154
360670163003,33838,1301
360670163004,40855,717
360670163006,50804,1225
360670163007,108875,1207
360670164001,59079,1045
360670164003,67614,1608
