Id,Median,Total
530330302014,75227,1885
530330303041,78077,1905
530330303051,65568,1988
530330303052,48383,1393
530330303053,90784,1723
530330303061,85966,1552
530330303062,123333,1296
530330303063,59593,2146
530330303064,94198,1092
530330303081,94917,879
530330303082,72857,2018
530330303084,46953,2114
530330303101,60417,809
530330303103,81528,1547
530330303111,96250,1083
530330303112,47591,2025
530330303113,53229,1156
530330303114,32470,1131
530330303121,32370,1676
530330303122,50399,1053
530330303123,86196,1194
530330303124,114423,849
530339901000,-1,0
530530602001,60982,635
530530603001,82619,1380
530530603002,74327,946
530530603003,59583,1764
530530604001,125781,670
530530604002,71563,880
530530604003,85385,736
530530604004,91635,1072
530530604005,74400,824
530530605001,116591,870
530530605002,123415,806
530530605003,52174,950
530530605004,77692,559
530530605005,95667,860
530530606001,91394,1036
530530606002,59375,888
530530606003,51708,896
530530606004,76897,959
530530606005,90909,557
530530606006,49853,640
530530607001,59667,1126
530530607002,88750,1252
530530607003,58021,966
530530607004,56154,893
530530607005,60263,1764
530530607006,41607,583
530530608001,85776,737
530530608002,67422,676
530530608003,80852,640
530530608004,50305,541
530530608005,92692,711
530530608006,44271,872
530530608007,70256,816
530530609031,74375,1043
530530609032,49327,1199
530530609033,90893,1301
530530609041,55260,765
530530609042,43798,2520
530530609043,73250,681
530530609044,32910,1268
530530609051,25798,2181
530530609052,54018,994
530530609053,59167,788
530530609054,72991,1588
530530609055,92000,1072
530530609061,63770,1639
530530609062,55862,695
530530610011,32255,1031
530530610012,103833,711
530530610013,82371,2099
530530610021,40419,2225
530530610022,92212,606
530530610023,42857,864
530530610024,53478,538
530530611001,68664,912
530530611002,44286,401
530530611003,48258,982
530530611004,27279,692
530530611005,79219,1235
530530611006,73000,1400
530530611007,54477,1074
530530612001,54792,1824
530530612002,61771,635
530530612003,64643,804
530530612004,40179,987
530530612005,42197,670
530530612006,52273,539
530530613001,26419,960
530530613002,37500,768
530530613003,28125,755
530530613004,47634,785
530530613005,38438,610
530530613006,39141,858
530530614001,13000,818
530530614002,19167,2214
530530614003,31384,1230
530530615001,43917,1463
530530615002,31269,1449
530530615003,18565,943
530530615004,37288,843
530530616011,21250,1982
530530616021,60568,867
530530617001,32750,1270
530530617002,46686,920
530530617003,50250,948
530530617004,47188,446
530530617005,48177,633
530530618001,21964,919
530530618002,45217,1018
530530618003,38281,544
530530619001,42721,959
530530619002,57500,995
530530620001,40250,987
530530620002,51542,1165
530530620003,48523,908
530530620004,55238,1291
530530623001,46313,1201
530530623002,38375,1461
530530623003,53487,1744
530530623004,27031,627
530530624001,49375,993
530530624002,26010,571
530530624003,100027,1544
530530624004,51554,1039
530530624005,49423,969
530530625001,44153,1181
530530625002,48512,1589
530530625003,56250,710
530530625004,38902,1200
530530625005,59356,1809
530530625006,71875,598
530530625007,55893,903
530530626001,24667,892
530530626002,45129,1866
530530628011,57031,1188
530530628012,27669,2403
530530628013,36927,1895
530530628014,30564,1218
530530628021,66071,1936
530530628022,50391,1158
530530628023,54861,932
530530629001,41455,2630
530530629002,29620,1210
530530629003,37500,840
530530629004,69779,896
530530629005,51038,882
530530629006,54643,658
530530630001,49659,1384
530530630002,48545,1711
530530631001,39432,682
530530631002,42400,1304
530530631003,47750,897
530530631004,58036,1231
530530632001,59063,940
530530632002,50125,1713
530530632003,48594,795
530530632004,52371,785
530530632005,49375,888
530530633001,37550,1569
530530633002,49254,3630
530530633003,40338,1213
530530633004,63750,927
530530633005,41424,1202
530530634001,25598,1659
530530634002,66667,1565
530530634003,35658,673
530530634004,41765,815
530530634005,24063,1439
530530634006,46607,1246
530530635011,56528,712
530530635012,46250,1321
530530635013,56250,773
530530635014,35863,1739
530530635021,37685,1042
530530635022,54159,2537
530530635023,50250,1642
530530711001,42197,1355
530530712051,75217,1597
530530712052,82050,2886
530530716011,31677,3194
530530716012,46719,1850
530530716023,49446,1820
530530717031,26441,2222
530530717032,41953,1520
530530717041,38125,2650
530530717051,39148,1649
530530717053,54667,1190
530530718031,51378,1940
530530718032,31793,1996
530530718033,50673,679
530530718034,45589,570
530530718071,38108,1839
530530718072,39975,1692
530530718081,26429,2012
530530718082,39286,1136
530530718083,25875,438
530530719011,36172,1624
530530719021,50924,1450
530530719022,76250,935
530530721051,103472,1109
530530721052,63173,1919
530530721053,-1,1130
530530721054,72390,1386
530530721061,68846,696
530530721062,79868,1942
530530721063,28892,2296
530530721064,43968,1729
530530721071,52361,1187
530530721074,55500,570
530530723051,39375,1399
530530723052,84620,927
530530723053,72849,714
530530723054,64141,925
530530723055,47132,1468
530530723056,57375,473
530530723071,33278,1927
530530723072,122917,573
530530723073,87011,750
530530723074,51000,923
530530723081,43304,1244
530530723082,96667,2088
530530723083,85227,1176
530530723084,81875,1395
530530723085,86029,1591
530530723091,90363,1572
530530723092,70269,2125
530530723093,39048,1096
530530723094,87417,952
530530723101,62083,987
