Id,Median,Total
120570001011,19432,1931
120570001012,59653,1250
120570001021,24545,1359
120570001022,43284,1832
120570001023,16417,739
120570001024,35357,2000
120570002011,14112,1408
120570002012,30029,729
120570002021,34518,1538
120570002022,33519,2024
120570002023,34150,1685
120570003001,15884,1651
120570003002,46278,1618
120570003003,43750,819
120570003004,33495,1127
120570003005,41573,981
120570003006,32419,1010
120570004011,43676,545
120570004012,21563,759
120570004013,50385,774
120570004021,41685,1414
120570004022,13147,560
120570004023,29665,786
120570005001,66906,859
120570005002,44318,1020
120570005003,50000,990
120570005004,45542,865
120570006011,30153,1225
120570006012,40093,1430
120570006013,21424,1222
120570006021,45950,1358
120570006022,40043,1009
120570007001,16044,1479
120570007002,21838,1464
120570007003,20128,1160
120570007004,12988,1521
120570008001,31192,1459
120570008002,33125,1660
120570009011,27222,895
120570009012,19129,1176
120570009013,35789,1001
120570009021,31801,2011
120570009022,17347,988
120570009023,18869,1284
120570010011,26085,1833
120570010012,15045,1295
120570010021,32212,1184
120570010022,21125,1297
120570010023,20272,1235
120570010024,17773,1205
120570011001,62321,661
120570011002,68083,908
120570011003,41705,1077
120570012001,23958,265
120570012002,25354,1735
120570012003,30000,917
120570013001,18621,1742
120570013002,64219,1771
120570013003,40938,1753
120570013004,42005,1202
120570013005,37885,558
120570014001,27333,2062
120570014002,26226,1293
120570014003,32875,1060
120570014004,56250,923
120570015001,52238,758
120570015002,25326,1207
120570015003,42472,824
120570016001,60714,435
120570016002,48272,1026
120570016003,85000,612
120570017001,55913,870
120570017002,39000,880
120570017003,21333,761
120570017004,56938,1072
120570017005,32875,935
120570018001,31750,1135
120570018002,12425,1054
120570018003,14036,622
120570018004,19676,413
120570018005,9900,479
120570019001,30750,917
120570019002,26894,1586
120570019003,27045,582
120570020001,23167,856
120570020002,25293,1038
120570020003,31538,1112
120570021001,21350,640
120570021002,41382,709
120570021003,38846,1224
120570022001,51719,579
120570022002,47639,393
120570022003,39583,917
120570023001,47353,1306
120570023002,38194,839
120570023003,34632,1093
120570024001,32470,310
120570024002,40489,1207
120570024003,19833,1300
120570024004,59857,1157
120570025001,28011,2022
120570025002,16071,1374
120570025003,29185,1253
120570025004,29583,1458
120570026001,20574,526
120570026002,30938,1180
120570027001,31730,1325
120570027002,36833,774
120570027003,57978,1508
120570027004,38477,2166
120570027005,27165,1471
120570028001,34034,921
120570028002,33125,623
120570028003,43500,664
120570028004,39671,740
120570029001,38917,744
120570029002,29102,784
120570029003,38750,533
120570030001,16818,902
120570030002,9223,918
120570030003,26731,726
120570031001,25757,566
120570031002,23750,822
120570031003,20774,894
120570031004,11773,389
120570032001,26554,1363
120570032002,35508,920
120570032003,17417,374
120570033001,30245,740
120570033002,15438,887
120570033003,25347,254
120570034001,19650,883
120570034002,9821,858
120570034003,35625,928
120570035001,32788,441
120570035002,23281,539
120570035003,29904,808
120570035004,26553,770
120570036001,24118,1109
120570036002,22656,1266
120570036003,28935,1400
120570036004,31689,699
120570037001,14741,1509
120570037002,9974,345
120570038001,21250,432
120570038002,26184,398
120570039001,41563,1027
120570039002,17825,979
120570040001,2499,118
120570041001,20500,356
120570041002,9515,909
120570042001,39583,547
120570042002,24432,671
120570043001,12333,888
120570043002,10650,860
120570043003,8366,1658
120570044001,22604,723
120570044002,24606,878
120570044003,23750,511
120570045001,22244,807
120570045002,20385,680
120570045003,44559,1299
120570045004,22103,895
120570045005,31510,548
120570046001,24659,681
120570046002,51631,1690
120570046003,28100,1010
120570047001,44440,543
120570047002,51406,532
120570047003,34485,727
120570047004,51875,841
120570048001,46719,820
120570048002,34295,652
120570048003,61667,543
120570048004,38698,613
120570048005,42083,596
