Id,Median,Total
261158330004,52009,1194
261158333001,80197,1823
261158335002,58074,787
261158335003,32463,2225
261158336003,50962,1246
261158337002,62708,676
261158339001,85250,2456
261158339002,78182,2611
390950002001,63750,755
390950002002,61250,955
390950002003,54119,1538
390950002004,41563,795
390950002005,27171,501
390950003001,45208,1249
390950003002,58571,1172
390950003003,40962,966
390950003004,41042,1083
390950004001,47986,705
390950004002,31065,1359
390950004003,40950,836
390950004004,42083,591
390950006001,32905,657
390950006002,35722,1208
390950006003,38851,1325
390950006004,27276,764
390950006005,24750,1290
390950007001,53875,637
390950007002,36625,853
390950007003,48778,717
390950007004,44125,382
390950007005,51426,1212
390950007006,31875,773
390950007007,26959,747
390950008001,34004,932
390950008002,19375,306
390950009001,26000,1635
390950009002,39444,1150
390950010001,32159,669
390950010002,33981,1097
390950010003,16989,408
390950010004,40096,383
390950010005,40917,1126
390950011001,26614,1069
390950011002,27333,461
390950011003,11676,570
390950011004,24028,564
390950012011,50682,1428
390950012012,37258,1106
390950012021,9316,2017
390950012022,15089,599
390950013011,78056,683
390950013012,84318,1100
390950013013,82115,778
390950013021,23145,1448
390950013022,13529,547
390950013031,36250,951
390950013032,43945,620
390950013033,53529,1346
390950014001,22734,1077
390950014002,21568,499
390950015001,12078,675
390950015002,28672,798
390950016001,58977,1406
390950016002,29545,956
390950016003,21750,924
390950017001,9620,770
390950017002,31932,878
390950018001,17311,1150
390950018002,27708,565
390950018003,22200,844
390950019001,21184,713
390950019002,32857,327
390950019003,15921,880
390950020001,18750,674
390950020002,20625,825
390950020003,40446,324
390950021001,25795,1048
390950021002,23594,913
390950021003,64093,878
390950022001,8580,569
390950022002,15234,322
390950022003,25560,643
390950023001,9604,963
390950023002,10347,626
390950024011,38309,600
390950024012,35114,694
390950024013,27768,1045
390950024014,12447,1027
390950024021,16595,585
390950024022,22333,584
390950024023,35786,731
390950025001,24460,551
390950025002,18036,1453
390950026001,23229,775
390950026002,30724,413
390950027001,13232,945
390950028001,17228,1208
390950029001,4440,741
390950029002,2499,749
390950030001,27042,626
390950030002,20769,355
390950030003,14053,467
390950030004,9643,462
390950031001,31827,324
390950031002,20815,620
390950032001,17917,504
390950032002,18971,907
390950033001,28235,510
390950033002,23828,934
390950033003,16282,592
390950034001,10031,858
390950035001,28958,475
390950035002,25815,1264
390950036001,25326,264
390950036002,15761,893
390950036003,17417,211
390950037001,12950,1335
390950039001,21786,833
390950039002,32143,784
390950039003,27238,992
390950039004,30966,1387
390950039005,52273,851
390950040001,12341,507
390950040002,35705,1058
390950040003,14661,492
390950042001,22083,656
390950042002,17785,454
390950042003,20764,528
390950044001,33403,995
390950044002,53103,1463
390950044003,45875,1046
390950044004,57837,638
390950045011,39527,1671
390950045012,55000,652
390950045013,63906,611
390950045031,40833,950
390950045032,37453,559
390950045033,33580,993
390950045041,70238,717
390950045042,69150,1252
390950045043,96563,534
390950045044,67689,1086
390950046001,21333,935
390950046002,34509,1889
390950047011,21202,980
390950047012,18125,660
390950047013,22308,732
390950047014,22146,439
390950047021,25278,498
390950047022,11992,870
390950047023,37128,885
390950047024,17303,1039
390950047025,39934,805
390950048001,28910,1274
390950048002,9541,720
390950048003,7895,526
390950048004,12024,659
390950049001,27333,947
390950049002,23865,1467
390950050001,39038,1167
390950050002,30486,674
390950051001,20865,1176
390950051002,9606,1447
390950051003,34886,1381
390950051004,25000,474
390950052001,14427,788
390950052002,49574,932
390950052003,42961,1161
390950052004,24167,618
390950053001,20721,1065
390950053002,35318,1119
390950054001,23977,1094
390950054002,33906,440
390950054003,31932,1473
390950054004,14074,346
390950055011,35968,1136
390950055012,31786,499
390950055013,41429,433
390950055014,38333,823
390950055021,75250,709
390950055022,44432,558
390950055023,52750,819
390950055024,42436,1148
390950055031,48889,515
390950055032,37287,734
390950055033,55417,971
390950056001,73352,2156
390950056002,35625,1413
390950056003,57632,854
390950056004,80625,1274
390950057011,31645,2487
390950057012,24915,1210
390950057021,33558,1717
390950057022,37386,782
390950057023,26500,1539
390950057024,49599,1162
390950057031,40536,763
390950057032,29737,854
390950057033,46944,741
390950058011,47902,2128
390950058012,29559,1770
390950058021,36550,1845
390950058022,53454,942
390950058023,50366,1120
390950058024,32212,776
390950059011,58625,831
390950059012,46250,803
390950059013,54300,962
390950059021,30000,1074
390950059022,24625,1108
390950059023,45833,1240
390950059024,14688,692
390950060001,53324,1853
390950060002,50500,592
390950061001,59531,1129
390950061002,56513,734
390950061003,56250,804
390950061004,45000,520
390950062001,27188,1015
390950062002,48333,1726
390950063001,50833,695
390950063002,60969,747
390950063003,36591,600
390950063004,47500,848
390950064001,52146,800
390950064002,41806,614
390950064003,46250,754
390950065001,43641,1147
390950065002,25903,1155
390950066001,46691,849
390950066002,23060,1261
390950066003,13500,637
390950067001,30434,751
390950067002,19000,916
390950068001,20640,1303
390950068002,14592,1663
390950068003,19063,942
390950068004,25333,956
390950069001,56429,557
390950069002,48594,1102
390950069003,47721,987
390950070011,58750,659
390950070012,55978,898
390950070013,34010,750
390950070014,51067,1513
390950070021,82875,776
390950070023,53750,642
390950071011,35000,1653
390950071012,80325,1318
390950071013,42683,1697
390950072021,51382,1037
390950072022,53042,1644
390950072023,27083,803
390950072031,55139,1164
390950072032,62457,909
390950072033,68060,2132
390950072041,81382,717
390950072042,54458,2029
390950072043,34039,1839
390950072051,56167,591
