lng1,lat1,lng2,lat2,id1,id2
-83.69436,41.747202,-83.694723,41.747178,261158330004,261158330002
-83.694723,41.747178,-83.695049,41.746645,261158330004,261158330002
-83.695049,41.746645,-83.695314,41.74714,261158330004,261158330002
-83.695314,41.74714,-83.696025,41.747096,261158330004,261158330002
-83.696025,41.747096,-83.699546,41.746996,261158330004,261158330002
-83.699546,41.746996,-83.699538,41.746856,261158330004,261158330002
-83.699538,41.746856,-83.699449,41.744003,261158330004,261158330002
-83.699449,41.744003,-83.699381,41.739887,261158330004,261158330002
-83.699381,41.739887,-83.699123,41.732703,261158330004,261158330002
-83.699123,41.732703,-83.70003,41.732651,261158330004,261158330002
-83.70003,41.732651,-83.707099,41.732283,261158330004,261158330002
-83.707099,41.732283,-83.707202,41.732279,261158330004,261158330002
-83.707202,41.732279,-83.708697,41.732219,261158330004,261158330002
-83.708697,41.732219,-83.716139,41.731927,261158330004,261158330002
-83.716139,41.731927,-83.715154,41.73094,261158330004,261158330002
-83.715154,41.73094,-83.710051,41.726038,261158330004,261158330002
-83.710051,41.726038,-83.70926,41.725277,261158330004,261158330002
-83.64701,41.748841,-83.647233,41.748786,261158330004,261158330003
-83.647233,41.748786,-83.647557,41.748731,261158330004,261158330003
-83.647557,41.748731,-83.650194,41.74865,261158330004,261158330003
-83.650194,41.74865,-83.653787,41.748567,261158330004,261158330003
-83.653787,41.748567,-83.65477,41.748544,261158330004,261158330003
-83.65477,41.748544,-83.656552,41.748501,261158330004,261158330003
-83.656552,41.748501,-83.658333,41.748457,261158330004,261158330003
-83.658333,41.748457,-83.662004,41.748361,261158330004,261158330003
-83.662004,41.748361,-83.665551,41.748279,261158330004,261158330003
-83.665551,41.748279,-83.665794,41.748273,261158330004,261158330003
-83.665794,41.748273,-83.666038,41.748268,261158330004,261158330003
-83.666038,41.748268,-83.666532,41.748247,261158330004,261158330003
-83.666532,41.748247,-83.667063,41.748225,261158330004,261158330003
-83.667063,41.748225,-83.673088,41.74807,261158330004,261158330003
-83.673088,41.74807,-83.675648,41.748004,261158330004,261158330003
-83.675648,41.748004,-83.68516,41.747781,261158330004,261158330003
-83.68516,41.747781,-83.685368,41.747777,261158330004,261158330003
-83.685368,41.747777,-83.687797,41.747557,261158330004,261158330003
-83.687797,41.747557,-83.690009,41.747407,261158330004,261158330003
-83.690009,41.747407,-83.693101,41.747283,261158330004,261158330003
-83.693101,41.747283,-83.694001,41.747224,261158330004,261158330003
-83.694001,41.747224,-83.69436,41.747202,261158330004,261158330003
-83.645731,41.727476,-83.645952,41.73022,261158330004,261158333001
-83.645952,41.73022,-83.645929,41.731561,261158330004,261158333001
-83.645929,41.731561,-83.645894,41.733611,261158330004,261158333001
-83.645894,41.733611,-83.645905,41.734269,261158330004,261158333001
-83.645905,41.734269,-83.646075,41.736502,261158330004,261158333001
-83.646075,41.736502,-83.646129,41.737211,261158330004,261158333001
-83.646129,41.737211,-83.646134,41.737265,261158330004,261158333001
-83.646134,41.737265,-83.646361,41.741385,261158330004,261158333001
-83.646361,41.741385,-83.646393,41.741976,261158330004,261158333001
-83.646393,41.741976,-83.646828,41.744358,261158330004,261158333001
-83.646828,41.744358,-83.646834,41.744406,261158330004,261158333001
-83.646834,41.744406,-83.646927,41.745184,261158330004,261158333001
-83.646927,41.745184,-83.64701,41.748841,261158330004,261158333003
-83.64701,41.748841,,,261158330004,261158333004
-83.666165,41.726879,-83.666037,41.726883,261158330004,390950080003
-83.666037,41.726883,-83.665954,41.726886,261158330004,390950080003
-83.665954,41.726886,-83.655883,41.72723,261158330004,390950080003
-83.655883,41.72723,-83.655805,41.727231,261158330004,390950080003
-83.655805,41.727231,-83.652055,41.727299,261158330004,390950080003
-83.652055,41.727299,-83.650843,41.727335,261158330004,390950080003
-83.650843,41.727335,-83.649271,41.727382,261158330004,390950080003
-83.649271,41.727382,-83.645902,41.72747,261158330004,390950080003
-83.645902,41.72747,-83.645731,41.727476,261158330004,390950080003
-83.685444,41.726622,-83.682548,41.726642,261158330004,390950081001
-83.682548,41.726642,-83.675109,41.726705,261158330004,390950081001
-83.675109,41.726705,-83.674508,41.726714,261158330004,390950081001
-83.674508,41.726714,-83.673796,41.726723,261158330004,390950081001
-83.673796,41.726723,-83.672033,41.726759,261158330004,390950081001
-83.672033,41.726759,-83.671238,41.726775,261158330004,390950081001
-83.671238,41.726775,-83.669484,41.726811,261158330004,390950081001
-83.669484,41.726811,-83.668725,41.726827,261158330004,390950081001
-83.668725,41.726827,-83.668443,41.726833,261158330004,390950081001
-83.668443,41.726833,-83.666184,41.726879,261158330004,390950081001
-83.666184,41.726879,-83.666165,41.726879,261158330004,390950081001
-83.689044,41.726393,-83.688682,41.726417,261158330004,390950081003
-83.688682,41.726417,-83.688664,41.726418,261158330004,390950081003
