Id,Median,Total
340210001001,32943,3359
340210002001,42450,1108
340210002002,35000,701
340210002003,52386,780
340210002004,28922,1009
340210003001,50833,1254
340210003002,60431,1090
340210003003,42019,958
340210003004,62321,1341
340210004001,34783,1934
340210004002,34408,628
340210004003,39517,2472
340210005001,49100,1050
340210005002,52813,1720
340210005003,48750,1256
340210006001,58247,908
340210006002,67222,1988
340210006003,38750,1171
340210007001,44883,1268
340210007002,55417,719
340210007003,28287,575
340210008001,28859,1313
340210008002,60227,994
340210009001,26389,764
340210009002,26250,1807
340210009003,28273,1244
340210010001,13300,835
340210010002,26929,844
340210010003,38309,1129
340210011011,30096,939
340210011012,53434,1040
340210011021,34602,1584
340210011022,33333,575
340210011023,14145,1640
340210012001,33472,496
340210012002,33689,1564
340210012003,68019,1427
340210013001,64167,1974
340210013002,147778,1517
340210013003,46250,530
340210014011,30775,1263
340210014012,9508,1041
340210014013,22315,1162
340210014014,15122,639
340210014021,32054,929
340210014022,36075,1343
340210015001,43393,506
340210015002,15313,1527
340210015003,55781,698
340210016001,19423,1114
340210017001,14383,1698
340210017002,61528,1314
340210017003,41295,1012
340210018001,46477,1283
340210018002,51847,1519
340210018003,33250,1431
340210019001,41667,1953
340210020001,10959,464
340210020002,36167,648
340210021001,56042,898
340210021002,31339,1116
340210021003,33699,948
340210021004,32083,868
340210021005,15875,2093
340210022001,48516,1111
340210022002,38519,1537
340210022003,42278,962
340210022004,37723,1239
340210022005,30814,958
340210024001,-1,1830
340210025001,72398,1315
340210025002,69272,1162
340210025003,57946,1168
340210025004,53938,1093
340210025005,62802,1312
340210026011,73529,464
340210026012,49375,939
340210026013,50500,1450
340210026014,50789,1220
340210027012,70104,1219
340210028002,23735,1690
340210028003,31063,1727
340210028004,69104,2164
340210029024,35573,2162
340210031001,60369,2478
340210031002,63350,1064
340210031003,60298,909
340210034001,64321,687
340210034002,69583,2047
340210035003,39449,2145
340210036011,87550,709
340210036012,107670,757
340210036013,61964,606
340210036014,46389,1107
340210037052,95225,1116
420171055051,86607,1708
420171055052,163185,2143
420171055072,120385,1960
420171055073,134609,2198
420171057021,51563,1511
420171057022,42276,1029
420171057041,44554,2039
420171057042,62917,1145
420171057043,57056,1892
420171057044,56801,535
420171057045,66378,1115
420171058011,118080,1707
420171058012,65438,1347
420171058013,88500,3314
420171058054,89931,1659
420179800001,-1,0
