Id,Median,Total
040190001001,38681,255
040190001002,9606,232
040190002001,33778,1929
040190002002,22157,1613
040190002003,24214,432
040190003001,17569,774
040190003002,38250,774
040190004001,19773,916
040190004002,38262,1322
040190004003,16642,1148
040190005001,-1,459
040190005002,21875,477
040190005003,12708,749
040190005004,-1,3451
040190005005,-1,182
040190005006,10938,3089
040190005007,26556,2087
040190006001,49922,961
040190006002,70500,729
040190006003,50676,1794
040190006004,62500,802
040190006005,52750,761
040190007001,31538,1262
040190007002,35245,1419
040190007003,17314,1186
040190007004,14176,671
040190008001,34760,648
040190008002,58490,1012
040190009001,32695,1302
040190009002,23953,1608
040190010001,39038,435
040190010002,29063,595
040190011001,30139,1106
040190011002,23900,1555
040190012001,30515,1899
040190012002,34894,2103
040190013021,11698,973
040190013022,19089,1098
040190013031,26406,989
040190013032,22232,939
040190013033,12201,931
040190013041,15703,1172
040190013042,25928,1807
040190013043,21537,1273
040190013044,8782,666
040190014001,38125,1133
040190014002,10968,1341
040190014003,11786,747
040190014004,42806,948
040190014005,28485,967
040190015001,15369,1172
040190015002,27798,1301
040190015003,33526,2226
040190016001,41985,1357
040190016002,83083,418
040190016003,54929,858
040190016004,33533,635
040190016005,49342,608
040190017001,51382,1329
040190017002,26250,868
040190017003,37500,705
040190018011,34286,911
040190018012,82604,933
040190018013,16607,327
040190018014,34315,1072
040190018015,28407,520
040190018016,20515,1920
040190018021,30128,466
040190018022,41146,1080
040190018023,30871,1015
040190019001,35455,1270
040190019002,95313,614
040190019003,75500,621
040190019004,47813,1391
040190020001,32574,911
040190020002,26185,1038
040190020003,45694,489
040190020004,41652,830
040190020005,31446,749
040190020006,44350,1501
040190020007,37125,1403
040190021001,34088,1888
040190021002,30556,793
040190021003,29236,564
040190021004,20357,1357
040190021005,29697,1366
040190022011,25375,1285
040190022012,50509,1103
040190022013,32574,1139
040190022021,30119,2621
040190022022,45952,830
040190023001,38462,855
040190023002,16570,433
040190023003,22992,1221
040190023004,15357,815
040190023005,24677,587
040190023006,21196,688
040190023007,31336,1080
040190024001,28548,1124
040190024002,24231,1457
040190024003,19018,865
040190024004,27316,1490
040190024005,18462,890
040190025011,21406,991
040190025012,26500,2012
040190025013,33359,790
040190025014,23365,2762
040190025031,31179,669
040190025032,30168,1541
040190025033,30063,2276
040190025041,20897,2089
040190025042,33361,1480
040190025043,38050,2049
040190025051,49914,1063
040190025052,31029,2914
040190025053,38460,2686
040190025061,48219,1773
040190025062,39247,2441
040190025063,62048,2593
040190025064,30208,602
040190026021,36813,1551
040190026022,20625,1354
040190026023,16825,1301
040190026024,47898,487
040190026031,16726,1394
040190026032,15216,1476
040190026041,20542,2575
040190026042,14856,1219
040190027021,37336,1418
040190027022,40909,1586
040190027023,24977,1646
040190027031,31135,1745
040190027032,22273,1248
040190027033,51875,620
040190027041,24488,1159
040190027042,38625,909
040190028011,16944,1214
040190028012,14567,390
040190028021,36202,1767
040190028022,29971,1568
040190028023,16290,950
040190028031,32500,982
040190028032,27093,1123
040190029011,28638,1635
040190029012,28750,2036
040190029013,42465,1287
040190029014,30795,501
040190029015,24083,1259
040190029041,72794,898
040190029042,49735,1810
040190029043,25317,1152
040190029051,36304,1544
040190029052,36250,787
040190029053,16458,1696
040190029054,38301,669
040190029061,56020,2404
040190030021,31964,640
040190030022,34800,1393
040190030023,38333,1344
040190030024,49286,895
040190030031,25350,1052
040190030032,31453,1093
040190030033,17351,1579
040190030041,31181,704
040190030042,62031,1128
040190031011,23653,1399
040190031012,31333,1643
040190031013,24071,1508
040190031014,30893,506
040190031015,22310,643
040190031016,19479,801
040190031021,35199,999
040190031022,33472,594
040190031023,44261,1229
040190031024,19989,1214
040190032001,23693,715
040190032002,41216,363
040190032003,74659,920
040190032004,41691,1049
040190032005,16063,1791
040190032006,68387,1082
040190033021,49708,939
040190033022,40800,1192
040190033023,47727,1332
040190033024,49125,748
040190033031,23750,954
040190033032,21932,1051
040190033033,56940,1640
040190033041,24783,2125
040190033042,83350,560
040190033043,47868,557
040190034001,50054,1669
040190034002,24962,876
040190034003,50446,848
040190034004,33269,1048
040190034005,85933,937
040190035011,16921,1005
040190035012,26076,1827
040190035013,21716,894
040190035014,25227,1135
040190035015,26094,1765
040190035016,30500,1016
040190035021,19338,1074
040190035022,15681,1079
040190035023,48788,671
040190035024,52794,729
040190035025,51415,1083
040190035031,23269,2350
040190035032,35519,1730
040190035033,21563,758
040190035041,30556,440
040190035042,50188,1078
040190035043,35345,923
040190036001,31738,535
040190036002,-1,168
040190036003,-1,649
040190036004,46098,3916
040190036005,45958,545
040190037021,21382,1865
040190037022,16612,2071
040190037023,20833,2330
040190037024,22115,728
040190037041,33125,2678
040190037042,27193,2199
040190037051,37500,1336
040190037052,36023,2400
040190037053,28209,1681
040190037061,12424,1035
040190037062,30017,2102
040190037063,25132,715
040190037064,21912,1227
040190037071,18685,2376
040190037072,51250,1365
040190038011,15378,828
040190038012,30313,630
040190038013,41786,949
040190038014,31625,595
040190038021,17159,853
040190038022,22371,2269
040190038023,60475,1116
040190038024,32549,1517
040190039011,35466,2329
040190039021,32266,1746
040190039022,29857,973
040190039031,45694,1477
040190039032,48750,1682
040190040081,44821,1072
040190040082,40139,1216
040190040083,48487,864
040190040084,39091,735
040190040085,65221,859
040190040101,29792,1092
040190040102,36458,877
040190040103,59219,1282
040190040111,41250,750
040190040112,44552,1615
040190040113,23533,1193
040190040114,73016,1194
040190040115,51779,1456
040190040116,35500,1394
040190040221,64653,1221
040190040222,59211,1636
040190040223,59338,2183
040190040224,72321,1518
040190040251,70573,1635
040190040252,80250,1889
040190040253,67411,1041
040190040254,86583,1726
040190040261,71684,1176
040190040262,78972,1807
040190040263,85795,2155
040190040291,36094,872
040190040292,65326,1023
040190040293,32150,856
040190040294,46556,1470
040190040301,82266,1103
040190040302,141806,737
040190040311,41727,2741
040190040312,64545,1499
040190040321,59087,1166
040190040322,38947,1668
040190040323,43182,913
040190040331,43352,1448
040190040332,33684,2155
040190040341,32993,934
040190040342,46317,2595
040190040351,32195,1465
040190040352,43378,956
040190040353,44365,1363
040190040361,35873,1904
040190040362,44559,1047
040190040371,71667,1320
040190040372,26983,1754
040190040381,48304,1589
040190040382,48958,719
040190040383,54028,458
040190040391,31175,1168
040190040392,33654,1254
040190040421,67917,2522
040190040422,51310,2614
040190040431,84189,2064
040190040432,70580,2223
040190040441,99556,1831
040190040442,57026,2251
040190040461,46563,2132
040190040462,43382,2288
040190040471,85417,1141
040190040472,77297,924
040190040473,43203,898
040190040481,47891,1811
040190040482,64844,1749
040190040483,68813,935
040190040491,42587,1638
040190040492,50096,799
040190040501,112500,1141
040190040502,102019,920
040190040511,99083,1676
040190040512,83333,2016
040190040513,84861,1249
040190040521,96000,1957
040190040531,66420,1809
040190040532,106528,1226
040190040541,76071,591
040190040542,82600,867
040190040551,82250,1193
040190040552,58393,2172
040190040561,44904,798
040190040562,78872,1597
040190040571,56607,1633
040190040572,42440,1600
040190040573,71378,1584
040190040581,65758,2241
040190040582,46622,1759
040190040583,61354,721
040190040611,74951,4437
040190040621,80250,5021
040190040631,75076,5092
040190040641,90814,7355
040190040651,84938,3706
040190040661,68523,3062
040190040671,32791,2421
040190040672,40033,908
040190040681,41016,1723
040190040682,39569,1364
040190040683,70270,1590
040190040691,28618,1142
040190040692,40625,1568
040190040693,61528,815
040190040694,47415,661
040190040701,56875,1053
040190040702,34966,943
040190040703,30570,1019
040190040711,24908,2074
040190040712,29817,1566
040190040713,26783,1004
040190040721,48816,2552
040190040731,98194,2585
040190040732,93846,2751
040190040741,59750,1810
040190041091,33409,624
040190041101,61989,1908
040190041102,54043,1904
040190041121,48010,1171
040190041122,41742,1861
040190041131,-1,4036
040190041141,50060,2018
040190041142,26364,2553
040190041151,40183,2499
040190041152,21832,2502
040190041153,24333,1793
040190041161,33933,2538
040190041171,52279,1291
040190041172,34482,4935
040190041181,55909,4436
040190041211,65412,7308
040190041221,43036,4352
040190041251,85191,3986
040190041252,31563,1740
040190043101,49813,1498
040190043102,35300,403
040190043111,59659,745
040190043112,58519,1082
040190043113,64297,1084
040190043114,53712,1792
040190043121,26099,1366
040190043122,28801,1337
040190043123,27000,1351
040190043124,44972,1342
040190043201,27670,2074
040190043211,41655,2530
040190043212,51641,1703
040190043221,36827,2189
040190043222,48140,3513
040190043223,56167,1796
040190044071,41344,3292
040190044072,40231,3801
040190044111,86614,4156
040190044112,15883,3394
040190044121,81364,1514
040190044122,54892,2061
040190044131,74087,1787
040190044132,59205,1603
040190044141,55096,3215
040190044151,41875,850
040190044152,60551,835
040190044181,92315,2475
040190044182,79125,745
040190044221,66813,1075
040190044222,59917,1385
040190044223,67279,1867
040190044224,70647,1075
040190044282,93269,1138
040190045041,16202,1102
040190045042,16304,1406
040190045043,34441,324
040190045044,47993,2675
040190045045,18598,905
040190045051,45521,995
040190045052,23871,763
040190045053,24392,2077
040190045061,29960,2325
040190045062,27539,1641
040190045063,50362,1226
040190045081,31585,1898
040190045082,36325,873
040190045083,30162,2011
040190045101,9520,2013
040190045102,30991,1662
040190045111,39483,800
040190045112,31442,1958
040190045113,27174,1872
040190045121,34797,1483
040190045122,26359,1872
040190045123,48902,710
040190045131,17198,786
040190045132,31287,997
040190045133,22847,1127
040190046101,46538,1612
040190046102,49038,2065
040190046103,69857,2079
040190046133,47596,1149
040190046161,51250,3522
040190046171,41802,1655
040190046172,41510,946
040190046181,62063,549
040190046182,58548,2749
040190047101,30766,879
040190047102,46574,1283
040190047103,41958,1752
040190047111,91056,1175
040190047112,74194,2590
040190047113,65729,858
040190047121,29188,1027
040190047122,128000,995
040190047123,114545,1139
040190047162,67575,2748
040190047181,53750,1341
040190047182,97083,634
040190047191,120268,712
040190047192,116174,1703
040190047193,66534,1983
040190047194,148173,1050
040190047201,71667,566
040190047202,91094,809
040190047211,71957,1299
040190047212,77240,919
040190047213,35306,1234
040190047221,91625,1395
040190047222,83889,1004
040190047231,84609,1654
040190047232,62276,1966
040190047233,63487,1156
040190047241,91635,1004
040190047242,126359,1578
040190047251,30833,809
040190047252,36250,1750
040190047261,82250,976
040190047262,60469,1001
040190047263,126645,2112
040190053001,59081,1169
040190053002,118542,2107
040199409001,30765,2075
