Id,Median,Total
110010001001,104083,1240
110010001002,108594,1436
110010001003,212941,1261
110010001004,200461,1062
110010002011,-1,3909
110010002021,175208,1332
110010002022,190500,760
110010002023,74180,1004
110010002024,125192,1770
110010003001,162813,1267
110010003002,56264,1426
110010003003,121827,1461
110010003004,157736,1755
110010004001,250001,661
110010004002,131250,846
110010005011,90417,1995
110010005012,103790,1362
110010005021,133839,1739
110010005022,102614,1291
110010006001,129750,1022
110010006002,91131,1009
110010006003,165000,828
110010006004,142578,1620
110010007011,54973,1137
110010007012,66178,1592
110010007013,112404,1311
110010007014,54567,875
110010007021,75982,1305
110010007022,52104,892
110010007023,96597,1089
110010008011,78681,2095
110010008012,250001,817
110010008013,215882,2429
110010008014,132824,1176
110010008021,93095,1571
110010008022,128875,1082
110010009011,171354,1399
110010009012,225400,1476
110010009013,234107,4685
110010009021,198438,692
110010009022,175795,1442
110010010011,152000,698
110010010012,113681,2018
110010010013,204286,1016
110010010014,177833,2130
110010010015,171290,955
110010010016,182159,1257
110010010021,26346,1280
110010010022,108750,1229
110010010023,109194,790
110010011001,118281,1813
110010011002,168750,1260
110010011003,160833,678
110010011004,116023,592
110010012001,79787,1936
110010012002,97619,1082
110010012003,174792,678
110010012004,147917,1289
110010013011,125656,1661
110010013012,250001,579
110010013013,81916,1920
110010013021,78594,2446
110010013022,86058,4311
110010013023,84917,939
110010014011,82292,2168
110010014012,218558,1177
110010014021,170417,857
110010014022,84813,699
110010014023,90369,1358
110010015001,206635,1749
110010015002,184750,872
110010015003,221250,815
110010015004,190455,1748
110010015005,239375,975
110010016001,152344,1097
110010016002,78625,591
110010016003,109732,568
110010016004,153148,1944
110010017021,102976,1663
110010017022,86107,1284
110010018031,59955,1178
110010018032,38686,2478
110010018041,44968,1338
110010018042,30231,1682
110010018043,43250,2487
110010019011,65714,960
110010019012,82155,1180
110010019013,74239,909
110010019014,79132,886
110010019021,87946,1539
110010019022,42016,631
110010020011,38000,1254
110010020012,123750,1294
110010020021,104327,1148
110010020022,37128,1452
110010020023,71607,1098
110010021011,43229,1247
110010021012,47708,1280
110010021013,60833,1230
110010021014,38672,835
110010021015,41696,1160
110010021021,51488,923
110010021022,38250,742
110010021023,68274,1090
110010021024,66615,614
110010021025,41803,706
110010021026,71429,826
110010022011,69861,1475
110010022012,72600,1487
110010022013,46111,706
110010022021,38049,1633
110010022022,29028,1177
110010022023,70833,785
110010023011,69338,1247
110010023012,58125,1621
110010023021,60263,1808
110010024001,39271,787
110010024002,42841,1018
110010024003,101141,881
110010024004,102986,1228
110010025011,16375,1145
110010025012,86949,1371
110010025021,40082,970
110010025022,41250,1373
110010025023,70347,1537
110010025024,63115,1629
110010026001,106776,1174
110010026002,140625,1221
110010027011,70365,548
110010027012,90349,1720
110010027013,141667,691
110010027014,43550,1641
110010027021,70025,1838
110010027022,146016,2487
110010027023,140364,1522
110010028011,63607,1101
110010028012,46058,3109
110010028021,53036,2857
110010028022,40481,2020
110010029001,74063,2256
110010029002,91917,2490
110010030001,75625,1686
110010030002,36458,2051
110010031001,63750,3280
110010032001,53500,1120
110010032002,53362,936
110010032003,68780,1428
110010032004,84453,1250
110010033011,98092,1171
110010033012,94135,1273
110010033013,76688,881
110010033021,74571,1344
110010033022,119583,858
110010034001,44208,1501
110010034002,99191,3511
110010035001,88906,1821
110010035002,27235,2668
110010036001,96477,1904
110010036002,39744,1287
110010036003,61705,1278
110010037001,77656,1524
110010037002,49554,2310
110010037003,64479,1717
110010038001,111346,2442
110010038002,87188,1657
110010038003,56902,929
110010039001,83611,1460
110010039002,79231,1320
110010039003,77627,1186
110010039004,110729,700
110010040011,93523,1100
110010040012,132321,574
110010040013,103382,1753
110010040021,80000,525
110010040022,102031,1538
110010040023,83077,612
110010041001,101176,1111
110010041002,100729,645
110010041003,142500,942
110010042011,79057,1547
110010042012,101410,2187
110010042021,95446,1480
110010042022,85556,1309
110010043001,68617,1827
110010043002,83077,1460
110010044001,118351,3238
110010044002,124719,2258
110010046001,47250,1233
110010046002,90272,1564
110010047011,18475,1409
110010047012,42908,2173
110010047021,81875,2211
110010048011,86629,2148
110010048021,95474,1194
110010048022,41250,2026
110010049011,25123,1227
110010049012,89432,1176
110010049021,34250,715
110010049022,116625,1937
110010050011,132231,954
110010050012,105813,1090
110010050021,36458,1709
110010050022,107500,2001
110010050023,110917,853
110010050024,72440,1004
110010052011,64223,1939
110010052012,110512,1549
110010052013,90652,860
110010052014,121420,1487
110010053011,111319,1203
110010053012,107321,1293
110010053013,57391,1232
110010053014,107628,1474
110010055001,117989,642
110010055002,109583,1957
110010055003,95017,1795
110010055004,52989,1221
110010055005,82434,706
110010056001,52933,1684
110010056002,71075,1635
110010056003,120776,1680
110010056004,71771,1124
110010058001,148355,830
110010058002,106691,1834
110010059001,83977,3160
110010062021,-1,0
110010064001,14432,1072
110010064002,23712,1093
110010065001,92857,941
110010065002,147375,1530
110010066001,158286,1869
110010067001,120556,1260
110010067002,137361,1198
110010067003,147708,1521
110010068011,74000,1400
110010068012,107614,605
110010068021,102639,822
110010068022,105938,1434
110010068041,-1,2958
110010069001,76100,1396
110010069002,145698,992
110010070001,126071,1210
110010070002,86964,1266
110010071001,57700,604
110010071002,80217,2666
110010072001,111750,2429
110010072002,25375,1056
110010073011,72629,3282
110010073041,21629,2596
110010073042,33333,580
110010073043,40455,532
110010074011,15764,1422
110010074012,15000,1102
110010074031,27652,3412
110010074041,26375,2288
110010074042,52292,859
110010074043,25781,278
110010074061,34833,2035
110010074062,13542,1354
110010074071,38333,734
110010074072,34768,1867
110010074081,25058,3050
110010074091,28125,1112
110010074092,15795,1130
110010074093,30641,1721
110010075021,16176,2843
110010075022,30800,2108
110010075031,46250,734
110010075032,22429,1682
110010075041,17372,2281
110010076011,44010,481
110010076012,67794,717
110010076013,47383,1347
110010076014,30341,933
110010076015,44034,652
110010076031,51080,1070
110010076032,83495,877
110010076033,145921,523
110010076034,48151,892
110010076041,31019,987
110010076042,80707,1554
110010076043,44861,900
110010076051,65417,643
110010076052,43858,2436
110010076053,22716,587
110010077031,50132,1017
110010077032,37160,1316
110010077033,23082,2492
110010077034,10920,391
110010077071,33975,2769
110010077072,61307,1494
110010077081,31029,1195
110010077082,22159,1598
110010077091,30278,916
110010077092,40772,716
110010078031,45795,618
110010078032,38125,676
110010078033,56852,562
110010078034,18852,1046
110010078041,21048,917
110010078042,32500,1016
110010078043,48654,1307
110010078061,35655,1147
110010078062,38885,980
110010078071,33186,1432
110010078072,24777,797
110010078081,24265,2899
110010078082,34464,922
110010078083,31616,880
110010078091,26641,1889
110010078092,49286,819
110010079011,55391,222
110010079012,47008,1200
110010079013,37045,1713
110010079014,25000,1193
110010079031,42219,1634
110010080011,98864,875
110010080012,100268,1253
110010080013,119688,578
110010080021,89537,1369
110010080022,118056,2325
110010081001,101250,584
110010081002,127036,1768
110010081003,145234,944
110010082001,100463,661
110010082002,90885,2343
110010083011,140605,1182
110010083012,123750,1501
110010083021,116875,2376
110010084021,90357,1205
110010084022,74609,963
110010084101,102900,1404
110010087011,60750,1240
110010087012,55625,1093
110010087021,65921,1552
110010087022,25000,570
110010088021,38507,524
110010088022,20500,1379
110010088023,71607,1092
110010088024,40441,1488
110010088031,18785,2099
110010088041,50526,944
110010088042,23750,1746
110010089031,37943,1891
110010089032,25250,1184
110010089041,25742,2207
110010089042,37500,1037
110010090001,30257,1585
110010090002,36974,1382
110010091021,56938,732
110010091022,41969,2467
110010091023,17346,2030
110010092011,50677,1709
110010092031,42232,1049
110010092032,66180,1560
110010092041,46250,782
110010092042,21047,2148
110010093011,103594,795
110010093012,89904,965
110010093013,66458,811
110010093014,61346,938
110010093021,58424,1092
110010094001,61528,736
110010094002,69138,1110
110010094003,67031,1710
110010094004,85809,739
110010095011,46029,2500
110010095012,44870,932
110010095013,43482,3574
110010095031,85000,1730
110010095032,78323,728
110010095033,49219,799
110010095041,43625,1431
110010095042,88125,1416
110010095051,67153,956
110010095052,53882,797
110010095053,58333,955
110010095071,53646,1546
110010095081,35192,743
110010095082,63636,1831
110010095083,56791,1056
110010095091,72656,1364
110010095092,68750,896
110010095093,60000,1033
110010096011,26620,2521
110010096021,23750,1488
110010096022,21725,1694
110010096031,49107,1345
110010096032,50909,392
110010096033,31402,998
110010096041,41761,1063
110010096042,55333,978
110010097001,31010,2245
110010097002,60750,686
110010098011,27100,2099
110010098021,10909,369
110010098022,30595,834
110010098031,17181,837
110010098032,36250,908
110010098033,15464,938
110010098041,46739,1899
110010098042,36181,716
110010098071,40625,745
110010098072,35240,2357
110010098101,31932,1251
110010098102,27940,855
110010098111,20642,1840
110010098112,26755,2980
