Id,Median,Total
201730001001,24779,565
201730001002,34202,780
201730001003,21250,790
201730001004,31008,1040
201730002001,39519,1908
201730002002,57899,1141
201730003001,30265,931
201730003002,18832,1072
201730003003,49276,534
201730003004,43375,1002
201730003005,17159,1070
201730004001,22298,1278
201730004002,33911,762
201730004003,21750,1273
201730006001,24875,732
201730006002,14250,1223
201730007001,17255,1495
201730007002,25625,913
201730007003,27963,763
201730008001,14000,913
201730008002,19500,342
201730008003,19917,1079
201730009001,20156,1338
201730009002,30813,876
201730009003,19923,844
201730010001,48456,923
201730010002,37532,1633
201730010003,26094,834
201730010004,33276,630
201730011001,39625,656
201730011002,15281,635
201730011003,27500,784
201730014001,52468,583
201730014002,68059,1042
201730014003,46100,1133
201730014004,52039,1474
201730015001,24236,1037
201730015002,34688,1100
201730015003,33984,865
201730018001,23897,910
201730018002,19677,1290
201730019001,51354,1197
201730019002,39931,841
201730020001,72321,768
201730020002,92222,1153
201730021001,56172,1223
201730021002,68807,1455
201730021003,51696,778
201730022001,119000,537
201730022002,70625,972
201730022003,58362,584
201730023001,28507,546
201730023002,42826,636
201730023003,37000,973
201730024001,18990,1194
201730024002,31016,624
201730026001,30804,969
201730026002,15694,741
201730027001,28782,837
201730027002,31813,813
201730028001,38010,869
201730028002,36296,811
201730028003,29440,829
201730028004,49345,946
201730029001,32667,1220
201730029002,40833,597
201730029003,37619,907
201730030001,32458,809
201730030002,19875,782
201730030003,36083,671
201730031001,11607,286
201730031002,25313,969
201730031003,21932,868
201730032001,17700,564
201730032002,21111,854
201730032003,21771,1887
201730034001,33750,1000
201730034002,30625,724
201730034003,35000,1226
201730034004,23500,543
201730035001,40563,885
201730035002,36250,850
201730036001,28382,647
201730036002,19005,864
201730036003,29265,651
201730036004,51204,616
201730037001,30278,1404
201730037002,21667,726
201730038001,29318,1223
201730038002,42708,819
201730038003,25000,833
201730039001,22903,1228
201730039002,38047,634
201730039003,40833,578
201730039004,38385,1091
201730039005,28056,923
201730040001,32652,1407
201730040002,18964,1785
201730040003,25962,1008
201730040004,27372,1425
201730043001,15583,1248
201730043002,47885,869
201730043003,29573,527
201730043004,28862,1167
