GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 5 minutes,Margin of Error; Total: - Less than 5 minutes,Estimate; Total: - 5 to 9 minutes,Margin of Error; Total: - 5 to 9 minutes,Estimate; Total: - 10 to 14 minutes,Margin of Error; Total: - 10 to 14 minutes,Estimate; Total: - 15 to 19 minutes,Margin of Error; Total: - 15 to 19 minutes,Estimate; Total: - 20 to 24 minutes,Margin of Error; Total: - 20 to 24 minutes,Estimate; Total: - 25 to 29 minutes,Margin of Error; Total: - 25 to 29 minutes,Estimate; Total: - 30 to 34 minutes,Margin of Error; Total: - 30 to 34 minutes,Estimate; Total: - 35 to 39 minutes,Margin of Error; Total: - 35 to 39 minutes,Estimate; Total: - 40 to 44 minutes,Margin of Error; Total: - 40 to 44 minutes,Estimate; Total: - 45 to 59 minutes,Margin of Error; Total: - 45 to 59 minutes,Estimate; Total: - 60 to 89 minutes,Margin of Error; Total: - 60 to 89 minutes,Estimate; Total: - 90 or more minutes,Margin of Error; Total: - 90 or more minutes
1500000US360010001001,360010001001,"Block Group 1, Census Tract 1, Albany County, New York",358,140,0,12,38,36,138,110,55,32,37,32,0,12,7,9,0,12,0,12,18,21,60,69,5,8
1500000US360010001002,360010001002,"Block Group 2, Census Tract 1, Albany County, New York",382,128,9,15,46,48,170,93,73,48,39,27,0,12,0,12,0,12,0,12,0,12,38,47,7,10
1500000US360010002001,360010002001,"Block Group 1, Census Tract 2, Albany County, New York",934,280,64,60,55,54,171,118,62,58,157,100,51,53,134,127,26,41,59,74,80,62,22,37,53,41
1500000US360010002002,360010002002,"Block Group 2, Census Tract 2, Albany County, New York",337,152,0,12,46,43,51,41,126,128,81,100,0,12,33,51,0,12,0,12,0,12,0,12,0,12
1500000US360010002003,360010002003,"Block Group 3, Census Tract 2, Albany County, New York",359,171,0,12,56,45,82,78,0,12,33,57,0,12,76,72,19,30,0,12,93,69,0,12,0,12
1500000US360010002004,360010002004,"Block Group 4, Census Tract 2, Albany County, New York",62,74,0,12,0,12,0,12,62,74,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360010003001,360010003001,"Block Group 1, Census Tract 3, Albany County, New York",729,291,0,12,69,103,79,60,273,219,101,67,13,22,132,104,16,27,0,12,31,47,15,25,0,12
1500000US360010003002,360010003002,"Block Group 2, Census Tract 3, Albany County, New York",411,216,0,12,16,19,39,47,254,213,0,12,0,12,29,36,0,12,73,91,0,12,0,12,0,12
1500000US360010003003,360010003003,"Block Group 3, Census Tract 3, Albany County, New York",697,227,35,41,18,25,120,88,255,159,142,134,0,12,100,70,0,12,13,21,0,12,0,12,14,23
